[0:0.100,0:5.170,0]  大家好今天是低价关的第11期我是竹子大家好我是古村
[0:5.170,0:6.600,1]  大家好我是徐霞
[0:6.600,0:31.610,0]  喂你好我是超人的相关事宜当讨论艺术史话题的播客节目每周四播出我们的网址是地下观点com推荐大家使用泛用型播客客户端订阅收听因为这是第一时间听到哔下关的唯一方法地下关系M波克网络旗下的节目关于播客客户端的推荐请访问ipn.l斜杠SHQ
[0:33.440,0:41.840,0]  呃我记得80年代的时候呃甘肃人民出版社出版过一个叫棕黄研究译丛
[0:42.280,0:47.680,0]  里面有一本书就叫做呃丝绸之路上的外国魔鬼
[0:49.150,0:51.870,0]  好多人都有印象的外省书店买的
[0:52.180,0:54.350,0]  对这这是一个英国人写的
[0:54.430,0:58.680,0]  英一个研究中亚地区的那个学者
[0:58.830,1:1.250,0]  也在先做一下他应该学了很多书
[1:1.250,1:25.300,1]  对好像这个做做家教pickers这这位他是个英国人是英国的一个记者就是说它主要的这个写作方向是就是说写一些探险故事啊历史方面的主要集中在俄国呀西亚呀和中亚很有意思他对粉丝投资路上的阳痿是他写的第一本书是在1980年出版这个影响很大
[1:25.300,1:33.430,0]  他用的真的不是洋鬼子我特地看了一下那个那个中文不是英文的那个模板的名字SF
[1:33.790,1:48.790,0]  对呀他写的SF所以翻译成外国魔鬼是是是对的因为因为我我我感觉它是非常呃因为我一个怀疑我就以为是我们翻译的问题就因为我们自己带有这种民族情绪
[1:48.790,1:52.300,1]  哎洋鬼子和外国鬼子有什么不一样啊
[1:53.490,2:20.170,0]  当然不一样了我们指的洋鬼子实际上只是说老外这是一个中性词但你如果用魔鬼的话实际上本身就带有非常强烈的选择和主观意外因为这本书实际上就就就已经呃它不是以基础性的就就就是哎那你要说是他是记者其实还还蛮容易理解的其实他已经在了尽管他是英国人他是在国际国际主义的角度上不是我们的责任
[2:20.240,2:59.630,0]  对对对现在所以属于这个角度上其实只有选择一类的因为他他实际上描述了20世纪初这些呃我们熟知的就各国探险队他中国的一个考古你在中国西域地区的一个但是我我我是想这么说这个其实呢怎么说呢呃我的理解呢他当然我觉得这个题目呢有一定的这个调侃的意味为什么这么说呢因为纵观这个其实从这个考古学发展以来啊因为考古学发展最最早好像就我记得就是德国人到那个克里特岛去搞那个荷马史诗的考古啊什么的其实这些考古的发掘大部分都是
[2:59.850,3:49.050,0]  就是发掘的人不在自己国家是在别的国家进行发掘完了把这东西从别的国家要拿到自己国家好像都是这样一个现象你比方说在两河流域进行考古到大英博物馆啊这些人去做的靠谱对吧在埃及做的考古也是大英博物馆还是法国人啊什么都去做到这个考古包括这个在希腊这个这个属于这西方范畴的这里面也是这个样子所以呢这个这可能是一个其实是我们今天要讲的话题的一个一个主要部分就是说在这个20呃19世纪20世纪初这样一个对就掀起这个全世界的一个一个考古发现的一个大浪潮从这个中亚小亚细亚一直到远东大家都在不断的在进行这个考古的发掘那么这里面的考古还应该有这个人类学较大
[3:49.050,4:25.690,1]  我觉得可是一直想一个方面当然这一方面也和这个东方学的兴起这这完全是考古学人类学的这个需要但是另一方面也和这些我觉得呀也和这些西方的这些老师民主义者比较基于这个东方的这么一大片这个味怎么着呢喂喂知名的或者他们都会被开拓的这么一块古老土地的一个际遇吧我觉得有这这方面的就各种因素都混合在一起比如说举个例子吧这个那个资产那个那个斯文赫定不就是一个很好的他到哪都是开始测绘呀画地图呀怎么怎么的但是他也做了一些调查
[4:25.690,4:36.180,0]  说点咱们跟这个不不是特别相关的比如说那地址调查那个也是跟考古一样先期进行的你看德国占青岛之前的100年
[4:36.600,4:41.550,0]  他站青岛之前100年已经把青岛的水文啊地质环境全都摸清了
[4:44.160,5:14.240,0]  图纸都换好了来了直接就见了嗯比如说职务写就各在在家里在云南地区在在东南亚地区大大量的植物学的调查研究也是也包括传就是弄好多的总自弄到那那那个谁那个那个那个那个洛克角色布洛克但是有很多植物恋人都是这样的现在我们在欧洲见了很多植物其实都是来自东南亚来自
[5:16.340,6:16.340,0]  对对当时实际上是一个很大的一个历史背景我觉得这里边有两个范畴一个呢当然是人类那个时候开始进入了一个就是工业化时代那么对这个未知世界这种探索批发的这些这些当时拥有最现代化知识的西方人对这个未知世界这种探索当然这不免有带油了这个带有的这个殖民主义色彩啊或者西方中心主义的这种这种色彩在里面这这我觉得是一种混杂的一个现象不能说每一个探险家都是殖民主义者但是呢也不能说这些里面没有这个怀有别有用心或者是这个女的别人国家的别的国家的这个文化啊资源啊或者这方面的这个目的因为还有一个就是说从这个世界史的角度来说国家的就现在我们一上的国家的概念也是在那个时期开始形成的是民族民族国家呀国家的概念啊对于这种帮这个这个国家的边界啊什么的因为以前中国根本就没有这个这个这个什么边界的概念只要是四方来潮的都是杂
[6:16.341,6:38.580,0]  中华的大帝国的一部分对吧这个是不一样包括到了这个马戈尔尼到那个觐见乾隆的时候钱都还没有这个概念什么叫国家没有国家这都是天下这都是我的这都是我的但是咱们这扯远啦这个今天因为我们讲的这个这个简单讲简单的讲一下这个这个丝绸之路的洋鬼子到底介绍一些哪些洋鬼子
[6:38.910,7:38.910,1]  啊这样这就我们回到这本书我觉得这本书还是很值得向听众朋友推荐的因为这个这位作者她虽然是一位通俗作家写的也是一本通俗的一本读物但是他自己第一个他做了好多文献上的一个一个研究他在这个加尔各答的这个印度印度的一些英属殖民地的印度的博物馆那个图书馆还大英博物馆呀啥还有那开个博物馆的一些这个档案他做了好多研究第二个他也是地区他写的这些地方他也实地考察了他的70年代就到中国的敦煌呀到到到到库车地区他也去看过所以他掌握了很多第一手的资料他的大概内容他当然是从斯坦一讲起的1900年斯坦英去这个和田去热瓦克去这个黑水城这些这些这些考察就是看了几次考察然后他谈了斯文和电影谈了伯希和谈了德国人谈了这个日本人大谷光瑞谈了这个德国人反正最最后因为市委
