[0:0.095,0:3.700,1]  今天是第下关的第12期，大家好，我是竹子。
[0:3.700,0:5.150,0]  大家好，我是古村。
[0:5.150,0:28.340,1]  大家好，我是栖霞一家关系一张讨论艺术史话题的播客节目每周四播出我们的网址是地下观点，Com推荐大家使用泛用型播客客户端订阅收听，因为这是第一时间听到B下关的唯一方法，地下关系XM博客网络下的节目关于播客客户端的推荐，请访问ipn.oie杠HH。
[0:29.300,0:37.650,1]  嗯，那么上去，我们讲的是速度上的一对德国鬼子的故事，他们把呃，我们现在新疆的。
[0:38.570,0:47.160,1]  除此很多修辞艺术一期他的新家艺术品带到德国，那么这一期呢，我们来回顾一下。
[0:47.260,0:49.640,1]  我们去对在。
[0:50.040,0:51.780,1]  一年去。
[0:54.610,0:56.220,1]  我比霞光的经历。
[0:56.660,1:4.640,1]  啊，那么全古村在回忆一下，嗯秋慈，你们在上面已经讲过，你去大概地理范围和他的。
[1:4.670,1:6.150,1]  等下历史状况。
[1:7.670,1:40.710,0]  行，那个简单跟大家回忆一下这个历史的一个概况啊，因为秋词是古称这个最早追溯到就是在那个汉数里面讲的西域36国啊，这是进了新疆地区，那么秋词，现在呢，就是现在的这个新疆维吾尔自治区的这个库车呃秋词怎么写呢，一个字就是，是乌龟的龟一个呢，是兹兹文在兹的兹，但读呢，读秋词，那现在呢，是库车库库创酷的酷车饰车马的车。
[1:40.710,1:52.690,1]  那个我补充一下，这库车因为就是空前那个其实其实在修辞其实就是这个出差的这个鼓励我们现在白城库车，但是当时就根据读音就发生生死。
[1:55.490,2:26.870,0]  那么苦撑呢，他现在就在这个天山的南麓，塔里木盆地的北缘，呃，古代秋词呢，实际上它是一个狭长的一个一个国家就沿着这个塔里木北园的一个绿绿洲啦，东边呢，基本上可以延续到这个这个吐鲁番这个周围这个地区那么西边的大概会叫输了，现在的输了也就接近了这个喀什或现在阿克苏这样的一个范围，因为在历史上将于一直在变化的基本上是在就在这个狭长的一个绿洲的范围。
[2:26.870,2:34.080,1]  嗯，到时候他让他的那个青瓷的这个王城就应该就在现在，现在我们这个库车县的这么一个。
[2:36.710,3:8.980,0]  那么他现在他这个历史呢，一直也从当然说成汉代就开始有了一直这个到了这个唐代，那么以后呢，那个中国这个唐代的时候，这个安安溪都护府的这个所在地也是放在了这个接触库车的这个地方啊那所以这个地方呢，在地理位置也是非常重要的那么文化遗存呢，相当来说，很多，那么我们上次讲到的就是说那个德国苔藓对在这个新疆它主要是有两大这个。
[3:9.100,4:9.100,0]  是裤裙去借去了很多文物一个呢，就是秋词的这个事故群还有一个呢，就是当然是东边的吐鲁番的事故车，那秋次的图库事故群的现在呢，大体保存呢，还有呃五六处大型的这个事故群那么其中呢，比方有这个克孜尔石窟有这个空不出啦，石窟有课责任感哈石窟有森木赛姆石窟，还有像小贷一些胎儿啊，唉啊基本的散落在现在的这个库车县跟现在的另外一个叫拜城县在这两个县的这两个县的这个飞机快西和县下面的这个范围内基本上这样，那么我们呢，有机会那呃去的这个访问的其中的这个大部分的这个主要的是裤裙跟主要的事故吧，呃，虽然已经有有一些这个过去的有几年了，但是这个G对我们来说仍然是非常这个新。
[4:9.101,4:38.950,0]  天的一个记忆啊，所以今天呢跟大家回想一下，尤其是跟她分享一下，不要以为就是说因为有一个可能可以给他一个错觉就好，这些精华是不是都已经被德国人给给挪走了，但实际上对于这个修辞的这个石窟群来说，呃精华时间还有很多事遗留下来，在这个当地我和我们可以现在可以看到，另外还有一些是我们以后新发现的有一些是不呃增值的这个大家去参观。
[4:38.950,4:49.570,1]  哎，我记得我们当时是2011年吗，应该然后一个大概的印象，我觉得当时我我自己啊，我是第一次去去新疆，然后总体的这个你是听。
[4:49.570,5:14.690,1]  听别人说吧，我觉得也北疆怎么怎么好，而且在南疆是一块好像这个这个有些是读的偏见吧，但是这次去这个就是一年，这次去南疆特别事故车去去看它撒觉得嗯，觉得对南京的印象真的是特别特别好，我觉得就说不仅仅是从历史文物，这个历史性的价格来看地址是自然风光的好吃的南昌也是最大的。
[5:16.120,5:20.370,0]  嗯，我们去的时候正好是胡杨林的一个这个灿烂辉煌。
[5:20.370,5:31.260,1]  嗯，不记得我知道我们在乌鲁木齐转机的时候，这个呃那个乌鲁木齐呢，还下着雪呢，然后飞机越过天山白雪。
[5:31.300,5:39.650,1]  三峡的这个这个雪峰一个月过就看见这个一片梁光灿烂的胡杨林，这个感觉真的是非常非常好。
[5:40.210,5:50.510,1]  对，而且我们呃落落地的第二天就去了那个塔里木河边的那一片胡杨林影响，特别对舅舅塔里木河吗。
[5:50.690,5:53.350,1]  嗯他，他主要古时候那个感觉很。
[5:54.850,5:59.520,1]  拆下对当时已经是11月份了吧，对吧，这个这个。
[5:59.520,6:16.760,1]  呃，他的服务这个本源，这库存利息还是一片秋测还是非常浓烈的秋色对XYJJ大山大水啊，感觉特别好，所以这南疆的那个恐惧一下就消失了，是吧，因为男人其实就是。
[6:16.760,6:26.240,0]  因为因为其实他不是我，我们也是给不是说给新疆这个推广旅游，但我觉得新疆实际上的确是一个值得大家去这个。
[6:26.760,6:57.110,0]  呃，寻救寻访的一个地方，因为新疆历史上是非常就具有非常灿烂的文化，就是说，呃这个历史在新疆的变化是非常这个剧烈跟应该是多彩的吧，应该尤其是历史上的新疆跟现在是完全是迥然不同的画面那个所以尤其是但是这个历史就是因为还流程的很多遗迹可以让我们可以想象当时的新疆的一种状态，尤其是当我们就是去访问了这个。
