[0:0.210,0:3.800,0]  今天是第下关的第13期大家好我是独子
[0:3.810,0:5.180,1]  大家好我是古村
[0:5.180,0:29.460,0]  大家好徐霞地下关是益达讨论艺术史话题的播客节目每周四播出我们的网址是地下观点com推荐大家使用泛用型播客客户端进入收听因为这是第一时间听到地下关的唯一方法地下关系MPM播客网络旗下的节目关于播客客户端的推荐请访问ipran斜杠Shu
[0:30.360,0:32.320,0]  嗯今天我们聊点什么呢
[0:32.500,0:36.350,0]  嗯考虑到最近这个春光大好哈
[0:36.350,0:43.780,0]  出行的朋友比较多那么中国这个幅员辽阔呃高山巨川也有很多
[0:43.870,0:44.910,0]  嗯
[0:44.910,0:46.650,0]  各地都预约了
[0:47.370,0:58.400,0]  各自独特的文明所以中国的这个历史进程很多都是雨山和管理及文艺界的那么今天我们就选择了一个呃位于华夏心脏
[0:58.490,1:3.670,0]  地带轴心地带的这么一个全就是太阳神这个
[1:4.720,1:7.830,0]  太行山了是一一做这个
[1:8.060,1:38.270,0]  嗯纵贯南北的一个一座大山两边呢有很多这个古时候有很多地方就是交通要出呃是这个股东变形的一个这个基座山他们无权是什么地方来讲这么大的一座山脉呢嗯我们选取的点呢是叫做太行发行那么这个泰航发行这个行子有可能有的这个朋友不熟悉呃我们进行鼓出来解释一下这个泰航发行的意思
[1:39.140,2:8.780,1]  这个行这个字呢实际上就是一个耳朵边一个这个经常的金地右半边就这次的读行行了古书在这个儿呀里面讲这个情这个字叫山角处就行就是两个山断开的地方就是行那么我们在这里就是把这个行呢引申为一个行到行到什么意思到就道路的道那就是只就是说两个山之间有这么一条
[2:9.950,2:27.000,1]  通过那么太行吧行呢是指在太行山有这么就是泛指这个大家中国人说吧不一定是个实数啊有可能是也是就是个需求就是燕京八景啊这样就他的选了八条这个穿过太行山的这个
[2:27.340,2:48.130,1]  山路太行山的其实是一个太行山脉它呢北起这个咱们这个北京附近的这个其实跟燕山山脉是连在一起的南边呢一直到黄河边上的这个中条山卖就这样的一个大概是一个S形状的这么一个山行
[2:48.730,2:52.410,1]  钱这个南北这个大概有上千
[2:52.800,3:0.330,1]  上千应该上千公里了那么因为他的所属的位置是在咱们中国的这个华北平原的这个
[3:1.360,3:9.860,1]  华北平原的北部啊西部啦所以说比较重要跟这个中国的这个历史啊是有非常深刻跟密切的内容
[3:9.860,3:57.200,0]  行那我哎那个我补充一下这个因为他行发行因为我们查下文明吗用力在这个呃黄河流域这个泰航发行的就在这个就是太行山吧就在这个黄河的这个北岸然后一直这个向北延伸到了这个北京这个燕山又准备整个在华北平原的东侧所以我们在古代历史上在古书上共享到我们家长到河黄河如果提到山的话呢其实就是特质揭开狼山我们现在大家都了解的比如山东山西的山东什么意思山东就在太行山的东边山西呢就在唐山的西边儿所以我就先给大家补充这边然后古城再给大家梳理一下太阳发行这个累吧行啊
[3:57.800,4:9.450,1]  对吧行咱们这个从南往北数啊最南面一个形象直观形之字怎么写的是车子旁边一个一只两只的只这个字念
[4:10.040,4:18.500,1]  智冠行这是第一个南边的反正之冠行在网就是东边所呢另外一条行叫太行行
[4:19.130,4:26.190,1]  太行行呢大概就是现在就是在咱们山山西的晋城连接这个河南
[4:26.250,4:52.270,1]  地浇做这样的一个地方刚才直观型的是大概是在这个山西的这个就是呃进程下面的阳城联系到这个河南的这个几元这样的一个大概这样一个地方那么再往东呢就是咱们这个另外第三行叫白行白就白颜色的白白型的大概是在这个联系呢是咱们现在山西的这个临川
[4:52.380,4:54.790,1]  跟这个河南的
[4:57.240,5:2.530,1]  就这个这样的一个这个地方的一个通道那么在网
[5:4.750,5:10.920,1]  辅助的是三点水右边的是一个父亲的父下面是一个金属的金
[5:11.290,5:16.480,1]  这个字念福福口杏福口型的是大概联系的是现在的邯郸
[5:16.920,5:21.520,1]  跟山西的这个左权这样的一个位置
[5:22.250,5:24.820,1]  那么再往北呢是进行
[5:25.010,5:26.690,1]  锦就是一口井的井
[5:26.960,5:31.120,1]  锦行呢大概现在联系的就是咱们山这个河北的
[5:31.490,5:37.380,1]  咱们这个从出了删除了山西呃出了河河南到河北河北石家庄那边
[5:37.670,5:39.690,1]  跟山西的这个阳泉
[5:40.470,5:44.230,1]  那么再往北呢就是这个另外一条行叫
[5:46.060,6:4.810,1]  普就是三呃草字头下面一个黄浦江的浦应就是这个呃阴阳的阴普殷勤普新型的这个呃行到呢这个历史上有一些争论的这大概位置呢就是在现在的这个河北的来源
[6:5.300,6:8.320,1]  到山西的这个灵丘
[6:8.570,6:10.880,1]  这这个大概这个之间的一个
[6:12.190,6:14.660,1]  还有一个呢再往北呢就是
[6:14.880,6:16.150,1]  叫飞狐行
[6:16.610,6:25.660,1]  就雪山飞狐的那个飞狐啊飞狐行飞户型基本上联系呢是从山西的呃松河北的来源道
[6:25.980,6:28.010,1]  河北的禹县
[6:28.390,6:55.720,1]  建了一个之间的一个通道那么最后一个呢就是精读呃军都行君都行呢是在这个咱们北京北苑的八大就是八达岭居庸关联系完了一直到赛上草原的这样一条行到这么这样的泛指这个就是这是具体讲的太阳吧行了吧条形实际上穿越太阳山其他重要的形态还有一些但是呢咱们都已经有太行八景来概括
[6:56.090,6:58.500,1]  简单的来说地理状况就是这样
[6:58.500,7:7.560,0]  所以我们就听出来说这个这个主要的贯穿和我们现在有关的这个省份大概就是现在的嗯山
[7:8.420,7:11.080,0]  河北北京河北
[7:11.140,7:12.250,0]  山西
[7:13.230,7:14.880,0]  是这样大概的一个范围
[7:16.310,7:19.440,0]  呃重关这几个省中间的这个
[7:20.810,7:29.490,1]  咱们要聊起来呢就是我们就是重来往北这么来聊这个因为现在实际上呃给我们的感受因为
