[0:0.400,0:4.050,0]  今天是低价关的第14期大家好我是竹子
[0:4.050,0:6.700,1]  大家好我是古村大家好士奇峡
[0:6.700,0:8.220,0]  大家好我是超人
[0:8.220,0:9.240,0]  我回归了
[0:9.270,0:16.890,0]  嗯首先淮源超人胜利回归哈你的过敏好了是吗空气清新剂空气净化器
[0:18.150,0:20.780,1]  是不是出门得戴个泳镜啊
[0:21.160,0:22.250,0]  差不多了吧
[0:22.620,0:24.310,0]  等于说他已经带了
[0:24.310,0:26.990,1]  但是那个不是泳镜带一个跟那个
[0:26.990,0:28.370,1]  开摩托的那个
[0:28.370,0:32.360,0]  做的跟你普通的近视镜长得一样只不过它四周风口
[0:32.620,0:34.250,0]  已经不那么夸张
[0:34.250,0:35.830,1]  对呀42风口
[0:36.080,0:45.400,1]  哎这个国内春暖花开我们这儿还是这个寒冬不是寒冬腊月还挺冷的你最近几天只有大概四五度特别冷
[0:45.560,0:47.470,0]  那就是你们春天还没来呢
[0:47.470,0:49.320,1]  是啊迟迟未到
[0:49.320,0:59.050,0]  那个我们来说一下地下关这个观众回馈啊人家已经觉得春天来了非常感动写了就1000多次的来信了啊
[0:59.220,1:26.540,0]  所以这个观众是山西临汾人说上次听到这个广生寺的节目以后呢特别激动所以就呃说了很多自己家乡的事儿说对这个山西非常感兴趣然后从这个当地他们的民族到有一些呃庙会呃到他能知道的了解山西的一些事情都和我们分享了呃包括对我们录音呃和这个
[1:26.680,1:28.030,0]  和和和
[1:28.080,1:43.900,0]  对我们公微信公众号的这个这个期待在这里我先说一下这个价观已经有了自己的这个微信公众号已经开始发了他的只要在微信里搜陛下关就可以搜到那他的微信号呢如果您
[1:44.130,1:52.970,0]  这个搜索的话还可以说是artranxue也可以搜到这个公众号的
[1:53.640,2:5.980,0]  马云但是现在的确没有打赏的这个点设置所以这个观众的热情他是希望说靠金钱的魅力让你们感受到我真的是要感谢你们呀可以打赏的
[2:5.980,2:9.010,1]  嗯那个会有的会员我们没有
[2:9.180,2:25.650,0]  虽然我们非常感动啊他来电主主要是想希望我们来推荐基本这个关于山西省木构建筑的书我们去之前在节目中说过一些呃你们还有没有更多的可以提供给其他朋友的那个
