[0:0.165,0:5.140,0]  欢迎收听陛下关今天士兵下关的第15期大家好我事业编
[0:5.140,0:6.500,1]  大家好我是古村
[0:6.500,0:8.020,0]  大家好我是栖霞
[0:8.020,0:14.060,0]  被下关是一辆讨论艺术史话题的播客节目每周四播出我们的网址是B下关点com
[0:14.400,0:20.250,0]  推荐大家使用泛用型播客客户端订阅收听因为这是第一时间听到并下关的唯一方法
[0:20.580,0:29.220,0]  B下关是ipn播客网络旗下的节目关于播客客户端的推荐请访问ipn.i斜杠SHQ
[0:29.710,0:35.700,1]  呃大家好在今天节目开始之前呢我们先读一封听众朋友的来信
[0:35.950,0:44.730,1]  那个先请示一下读一下好吗哎好嘞这封听众来兴是对我们上周太行吧行节目的一个反馈
[0:45.520,0:46.710,1]  我来读一下
[0:48.810,0:53.080,1]  特地写信表达一下我个人对比下官和各位主播的建议
[0:53.680,1:0.750,1]  因为这趟节目对我来说远远不止是关于艺术史而是关于让我重新认识自己的身份
[1:1.320,1:3.070,1]  这不是一个夸张的说法
[1:3.540,1:5.440,1]  因为人生长于社会
[1:5.580,1:12.520,1]  我是谁这个问题的答案按道理讲总要包含大量来自自己这个族群的历史记忆
[1:13.000,1:22.620,1]  但是对我自己来说这个问题的答案其实一直是完全由基因性格个体经历所定义的后现代的原子化虚无
[1:23.480,1:31.320,1]  因为我一直以为集邮政治历史课灌输给我们的这套现代国族认同完全是想象的共同体
[1:31.700,1:35.230,1]  及拓展和拙劣的拼凑痕迹比比皆是
[1:35.820,1:49.020,1]  但听了这期太行山的节目之后我意识到自己这么多年简直和近代考古发掘之前那些每天行走在尼罗河岸边却对那片土地的过往几乎一无所知的埃及人一样
[1:49.420,1:54.810,1]  哪怕经过的国王古也不知道里面埋藏着多少壮阔美丽的故事
[1:55.690,1:58.290,1]  这么说是因为我的家乡就是焦作
[1:58.410,2:0.730,1]  老家就在沁阳山王庄
[2:1.070,2:2.450,1]  就在太阳山脚下
[2:2.850,2:8.010,1]  按照节目的给出链接的介绍我爷爷奶奶家离太行型的起点
[2:8.180,2:9.810,1]  距离大约500米
[2:10.500,2:13.550,1]  当然我在今天之前根本不知道这一切
[2:13.660,2:15.730,1]  不知道太行吧行是什么
[2:15.890,2:19.380,1]  不知道他们在先秦到魏晋所代表的意义
[2:19.810,2:26.830,1]  从不曾想过文言文里听说过的那些地名我其实早已数次踩在过同样的那片土地上
[2:27.460,2:28.640,1]  那么白行
[2:28.850,2:35.400,1]  由于云台山等附近的旅游景点近年来开发的越来越多我从小就去过那附近很多次
[2:35.630,2:38.260,1]  去年还和父母家人去过宝泉水库
[2:39.110,2:47.680,1]  然而因为这些地方承载的文化记忆一无所知在我眼中这里一直不过就是周末郊游的一个山沟而已
[2:48.300,2:59.740,1]  我知道所谓的合股人的精神联系是一种一厢情愿的想象但我也开始觉得这种哪怕是想象的关联系或许真的不可或缺
[2:59.760,3:4.500,1]  因为没有了这种族群记忆身份认同就是残缺的可悲的
[3:5.350,3:9.070,1]  另外最近几期讲秋次和印度的也听得十分入迷
[3:9.390,3:18.120,1]  同样由于大一统叙事的需要我们的历史课本上提及的区域如今我只记得安西都护府张骞出使
[3:18.190,3:22.800,1]  完全不知道千年前的塔里木盆地其实气候比现在一车不少
[3:22.990,3:28.640,1]  还有很多东西方各大文明的全面交汇碰撞碰撞所
[3:28.840,3:31.080,1]  呃产生的文明古国
[3:31.550,3:39.560,1]  那里的居民有的时候硬欧雨伞祖禹有的金发碧眼有的是中原长相有的信仰佛教有的信仰索洛亚斯德教
