[0:0.220,0:4.595,1]  欢迎收听并下关今天势必霞光的第16期大家伙事业编
[0:4.595,0:7.260,0]  大家好我是古村大家好我是徐霞
[0:7.350,0:8.900,0]  大家好我是超人
[0:9.010,0:20.820,1]  被下关是一旦讨论艺术史画皮的播客节目每周四播出我们的网址是陛下观点com推荐大家使用泛用型播客客户端订阅收听因为这是第一时间听到并相关的唯一方法
[0:21.250,0:29.120,1]  地下关系SF网络旗下的节目关于播客客户端的推荐请访问ipn.i斜杠SQ
[0:29.990,0:39.005,1]  上一期我们短暂的下趟江南现在就有急不可耐地往北回归了呃不过严格的时候今天来的
[0:39.005,0:44.590,1]  来讨论的这个地方不是不能算是北方了应该算中原吧就是
[0:44.890,0:49.500,1]  中国的中新呃我们中国人好像对这个
[0:49.870,0:52.630,1]  中央的这个概念还是比较迷恋的
[0:52.900,0:56.130,1]  嗯今天的主题就是这个天价之中
[0:56.330,1:9.950,1]  呃应该我估计应该大家还是对这个有点概念吧天下之中在什么位置什么地方调的是世界遗产世界文化遗产天下之中古建筑群是吧是贾老师
[1:9.950,1:23.810,0]  对这个因为中国人的概念古代的概念因为中国觉得是天元呃地方所以只有方的地才有中那如果知道地球是圆的话就没有中了哎也有啊他们不是把那个
[1:24.580,1:33.240,0]  那个欧洲大陆美洲大陆什么都算在一起算那个凉了一个大概人类的文明的中心吗
[1:33.460,1:35.500,0]  那地理的中心是其实是没有的
[1:36.080,1:42.850,0]  其实其实我觉得更多的是一个文化的一个这个中心的一个呃无数的地理中心吗
[1:42.930,1:55.600,0]  比如说中国现在现在版图的中心就因为了中国的版图呢咱们是有限对吧试试应该扯平了应该是一个什么什么形状那么自然有个中心那个中心在哪儿呢在西安
[1:56.410,2:1.650,1]  对现在的短途肯定是因为向西扩展不少跟那个就是以
[2:1.650,2:3.010,0]  西北一
[2:3.210,2:6.450,1]  嵩山与嵩山为天下之中的那个时时代
[2:6.450,2:11.650,0]  那时候这裙子四至嘛是吧你越越越以镇和
[2:11.700,2:14.200,0]  以镇海为四至哈
[2:15.110,2:33.540,0]  嗯但是可能还只那个超人还速度快了一点其实天下之中就是说松山有地中这个概念有可能是在春秋战国时期形成的但是它它脱骨吗中国人中国人说是周公测了天下第中说是在嵩山但是因为这那个周礼
[2:33.540,2:44.170,0]  这不梳理记这部书应该可能是在最后成型可能是在战国战国时代嘛所以也许就是说在春秋战国战国时期才有了这个地种在松山这么一个项目
