[0:0.490,0:4.340,0]  今年势必下关的第17期大家好我是竹子
[0:5.840,0:7.235,1]  大家好我是徐霞
[0:7.235,0:29.680,0]  地下关是一场讨论艺术史话题的播客节目每周四播出我们的网址是地下观点com推荐大家使用泛用型播客客户端订阅收听因为这是第一时间听到地下关的唯一方法地下关是ipn播客网络旗下的节目关于播客客户端的推荐请访问anjie杠SH
[0:30.230,0:39.580,0]  那么在下关的第第五期第六期发现古建筑的这个两节目里面啊你们谈到了这个发现佛光寺
[0:40.710,0:49.490,0]  雅思授课您会在193年7月去考察合作五台山的考察这是他们在华北考察的最后一次
[0:49.670,0:58.140,0]  嗯那么在实际上在发现佛光寺怀着巨大的喜悦出台以后呢他们在回京的路上
[0:58.370,1:0.580,0]  还晚了几天就就
[1:1.140,1:4.410,0]  发信息如果调实际时间就已经还
[1:4.410,1:10.080,1]  对他们当时是对当时是在一个这个他们是回到了这个代谢
[1:10.330,1:19.240,1]  在线以后完了在这个整理东西的时候再看了当地的这个报纸当地报纸嗯晕的在线已经是过了好几天了不是当天的报纸
[1:19.240,1:20.550,0]  已经是一周
[1:20.550,1:22.170,1]  对一周以后对
[1:22.510,1:43.400,1]  对完了平均发生战事对但是呢这个呢有一个历史背景就说那时候其实这种战士呢是呃经常发生大家没有预料到就是马上就会有八年抗战这个全面战争的这个爆发因为因为那个这个跟日本人的这种冲突那时候经常有比较三三几年什么热什么时候合适BS
[1:43.400,1:45.090,0]  先从三一年就开始
[1:45.090,2:3.010,1]  对他没有想到但是知道就是他就他们当时赶回去的原因就怕那个呃铁路被封了或者铁路被断了什么的后来他们就绕道从大同那就回北京了但没想到这一回北京完了就展开了就下面的八年的这个颠沛流离的这个生活
[2:3.960,2:18.790,0]  实际上这也是营造学社的就前段考察的结束那实际上从娱乐学社大概有两个阶段其实一直是在乱序中这是一个然后非常感佩的一个
[2:19.180,2:37.710,0]  一个事情就是他从三年到三年其实已经是在乱世之中但他们一直坚持抓紧一切机会去到各地进行考察对你的华北比较多的实际上也有机会比如说在杭州啊在南方一些考察对那么这这一次以后实际上他们不得不撤离北平
[2:37.850,2:42.240,0]  然后和其他的很多这个文化机构一块南迁
[2:42.240,2:53.500,1]  对这是一个当时来说是一个对梁森他们来说是一个一个重大的一个抉择因为大家知道营造学社实际上在当时他是一个他是一个私人机构
[2:53.730,2:54.650,1]  就说是一个
[2:54.650,2:56.330,0]  呃民间团体
[2:56.510,3:38.000,1]  对对完全他的经费都是来源于这个民间的这些这些自助啊什么的那么他们当初离开这个这个北平的时候也是冒了一定风险因为他们的等于离开北北京了以后他们的好多这个资金的来源也会省很大的问题因为他们当时的这个这个自助人这个主体前那个因为它是这个年纪大的一个老人嘛他们都没有离开这个北平另外一方面就是我想补充的是营造学社的很大一笔经费啊但是主体贤珠老这这个提供了很大一部分另外呢还有他每年都会去申请一比这个更款
