[0:0.185,0:4.140,1]  今天势必下关的第18期，大家好，我是竹子。
[0:4.140,0:6.970,0]  大家好，我是古村大家好，我是徐霞。
[0:6.970,0:24.430,1]  地下关系一档讨论艺术史话题的播客节目每周四播出我们的网址是陛下观点，Comc店大家使用泛用型播客客户端订阅收听，因为这是第一时间听到被海关的唯一方法，陛下关是ipm播客网络旗下的节节目。
[0:24.760,0:30.320,1]  关于播客客户端的推荐，亲访问iphn.I斜杠SHQ。
[0:31.070,0:35.460,0]  呃，节目开始前，我先读一分一位昆明听有给我们的来信。
[0:36.520,0:42.030,0]  尊敬的各位主持人你们好，从B下关开脱纸巾，每期都挺。
[0:42.840,0:46.630,0]  第十七七七聊到了我居住了21年的昆明。
[0:47.220,0:54.610,0]  十分激动之余，也让我从另一个角度认识了这座城市，我从出生一直到现在都在这儿度过。
[0:55.040,0:59.690,0]  现在即将大四的我每次离开昆明的时间没有超过15天的。
[1:0.390,1:8.690,0]  昆明在我身上留下了不可磨灭的痕迹，而我对昆明也具有这这一所城市所能拥有的全部感情。
[1:10.470,1:15.480,0]  节目中提到的古建筑我最熟悉的就是东寺塔也就是长乐斯塔。
[1:15.780,1:20.140,0]  我的高中就离东寺塔300米的距离，昆山中。
[1:20.520,1:26.220,0]  每天回家都要从塔下经过我妈的初中也是在这个学校读的。
[1:27.180,1:36.540,0]  参加家长会后，他指着我们的行政楼说，那就是他们那时的教学楼当年在二层教室还能看见东西塔。
[1:37.150,1:41.920,0]  当然到我上高中时是看不见了，被好多楼房隔开了。
[1:42.670,1:48.300,0]  高一语文课，老师还带我们去花园中介绍了关于东寺塔的故事。
[1:49.030,1:53.010,0]  与我们而言，也就是换个地方追逐打闹了两节课吧。
[1:54.010,2:5.820,0]  高一要结束时，学校通知书以后书林街校区不招生了，我们最后一届在这边多玩这校区就不要了，有说要盖小区的，有说要在商业广场的。
[2:6.410,2:9.790,0]  高三时就只剩下我们和初三的学生了。
[2:10.380,2:12.930,0]  原本拥挤的校园变得很亲近。
[2:13.770,2:26.020,0]  你高考压力为说服自己的借口某天下晚自习后在昆明有些凉意的夏风中书林街畔东寺塔底，我奔着且愚蠢的协会的抽烟。
[2:26.970,2:33.290,0]  高中毕业后，昆山中彻底的办理的葱郁的书林街，我也再没有回去过。
[2:34.190,2:45.280,0]  知道听了今天的节目在图书馆准备司法考试的我中午回家吃饭这段宝贵时间点开了overseas照壁下关陪我度过。
[2:46.450,2:50.170,0]  一小时的时间刚好够来回的路程家吃饭。
[2:50.800,2:56.510,0]  听完后我克制住自己的思绪继续做完刑法犯罪论的真题。
[2:56.900,3:3.080,0]  你看后面刑法论忠贞，您的罪名果断地合上了书骑车奔向东寺塔。
[3:4.230,3:17.830,0]  三年不到的时间书林街的法国梧桐依然葱郁，只是多了一个远观时尚进桥粗糙的现代风格建筑刺眼的反射的柔和的吸氧。
[3:18.260,3:23.760,0]  在路口就能看见东寺塔只是披着一层代表着修缮的绿壳。
[3:24.450,3:42.720,0]  把车停在塔下，买了一杯胡萝卜汁，看着这熟悉又陌生的古塔，听着仿古商业步行街上小吃摊的厨师们闲聊，回想起高中的时光反思的昆明的古建保护幻想着我没去过的梁思成，林徽因故居。
[3:43.870,3:49.920,0]  回家路过高中门口发现改成了书林二小不是小区也不是商业广场。
[3:52.630,4:7.070,0]  感谢陛下官大给我这边这片刻的轻松，让我在浩如烟海的法条中透出来走出来透了口气，我依然会努力的学习，为了自己，也为了昆明这座不完美的城。
[4:7.820,4:11.510,0]  主主持人们身体健康比下关越来越好。
[4:12.190,4:56.450,0]  落款shijiasit斯些比当然后我看了这个落款，当时就是忍进不进啊，都笑起来了，因为他后面还有一个英文的注释就加clbdan这个所以他的中文是它的这个英文的中文发音呐，加clbdan平有呃，谢谢您喜欢比下关节目，也谢谢您的来信和发来的照片，呃很开心，因为下关节目您又故地重游，回味了一把自己的青葱岁月，其实您的来信，也让我自己产生了不少共鸣，对于长期生活过的城市，对于那些美好的旧时光，每个人都会有许多依恋和难以言表的情愫。
[4:57.680,5:5.050,0]  另外，读了您笔下的东塔啊，我又不进，回想起当时探索西塔和东塔的情景。
[5:5.940,5:22.920,0]  从金马碧鸡呃，向南走过鱼课司街呃，再穿过东四巷东石阶眼前的街景，虽然有些凌乱，但确实是昆明城内难得的没有改造过的就结区很有特色。
[5:23.760,5:28.010,0]  当时夕阳西下映照在东塔上特别的漂亮。
[5:28.610,5:37.310,0]  实在是一次的非常美好的房估体验，这里就再次谢谢您家私需要被盗也祝您呃，司法考试顺利。
[5:38.260,5:46.610,1]  那上一次我们讲到一个学社在降火分配中就是到达了这个云南稍作时。
[5:46.670,6:12.765,1]  有了一个落脚点，他们这个是期间呢，他没有立刻讲开的都云南的这个古建筑考察，嗯，我们那么这一期呢，我们来讲，他们在完成云南的考察以后再三九年开始对呃就深入到川康地区进行调查，那么这次调查呢，实际上是娱乐学社的应该是是一个绝唱是432年。
[6:12.765,6:18.820,1]  1000多四调查以外的最后一次调查也是他们在野外考察中时间。
[6:19.040,6:20.860,1]  最长的一次。
[6:22.210,6:23.580,1]  喂，这个。
[6:23.770,6:25.500,1]  呃，沈损失列的。
[6:25.500,6:44.770,1]  项目比较多，呃，那么我记得当时我们一起来去去去签全找领导去说这个这个路途的时候古村去拿着一本厚厚的打印的流水苑先生的那个创康调查日记就这个印象玩细节还行，记得挺深的。
[6:44.920,7:44.920,0]  对的那个是那时候呢，是这样，就是时代不一样，那个刘敦桢根林呃，梁思成，他们那时候去这个四川呃调查呢，大概会有前后可能有大概四个月左右的时间，当然这四个月因为当时蜀道难吗，那个里边说蜀道难难于上青天，对吧，在民国时候就是一些抗战的阶段，其实道路交通还是非常困难的，所以他们很多时候呢，他们都一天只能走个几十公里路，好多时候呢，还借助于这个船并不是这个长途汽车，那么现在实施近千啊，这个在整个的这个四川地区，现在航运基本上已经是非常有限了，只是在长江啊，什么主要航道上好多小的这个航道，因为都修了这个水库啊什么的，基本上就没法再行船了，所以呢，我们就不可能再亦步亦趋地跟着前人的脚步怎么走，所以我们的路线呢，需要我们尽量。
[7:44.921,8:34.860,0]  想把他们走反过的地方，我们都是从走到但是，呃是没有可能跟他们亦步亦趋的这样来走对呀，因为这个我看这个刘先生的这个窗框调查日期里很多次，很多时候他们都是呃，顺江而下，顺流而下都是坐竹筏，然后这个其实速度还挺快的，比如说从轻一家从那个雅安下子就就这个到了这个呃，重庆附近，那我们现在基本上就没有办法这么走了，都是走公路，所以很难像我们以前在山西啊，或者说来河北啊，河南呀，云南，那么可以一个点一个点就是他们今天到达我们也到哪，他们第二天早上我们拿，所以这个好像在四川不太可能因为我还想补充一下，因为刘先生他们讲的叫川康调查日期呢，川康什么意思呢。
[8:36.530,8:51.100,0]  那是因为那个时代呢，那个四川现在的四川省的是分成两个行政区，换一个呢，是四川省一个是叫西康省西康省的基本就现在，四川西部这一块他那当时的省会呢，是牙为中心。
[8:51.370,8:57.380,0]  所以呢，那时候居家穿康调查几句康就代表那西康省现在当然就也是这个。
[8:59.080,9:18.320,1]  嗯，他们这次调查实证涉猎的就是范围特别广，包括古建崖墓汉血压石刻造像，这种还是700多出，那我们现在你们既然不是一部一区的跟着走，我们现在是不是索性按门类来给大家做一个介绍。
[9:18.320,10:18.320,0]  对这样，这样可能对这样可能比较好一点，那个在这以前呢，我补充一个这个背景知识，其实四川啊这个因为在这儿知道这四川的天府之国这个历史很悠久，其实相比这个呃上一期我们讲的云南来说呢，这个四川的这个文化积淀跟历史要比云南悠久的多，因为云南这个正式这个就是归入咱们这个华夏这个版这个文明的这个这个版图的话是从元代是在明代才开始来这个，所以这个在云南的这很多建筑遗存什么都是上溯到明代或者或者南昭国是带四川，因为在早在这个战国时期啊，就已经开始跟中原发生呃联系了，当然这个呃三星堆这个档案太早了，咱们就不讲了比较长的这个秦汉时期对吧，那那我有个建议啊，那至少这我们刚才不是提到雅安了吗，那我们不如就从这个呃，当年刘先生和梁先生他们在。
[10:18.321,10:24.110,0]  雅安和庐山地区的这个考察和长崎啊，因为雅安也很著名的高一切。
[10:24.960,11:13.710,0]  对对对是就是说，呃还另外还有就是我想说的一个就是说，其实这个四川这个文物古迹丰富，而且在这个营造学社呃，考察以前呢，其实在呃是20世纪至上世纪的这个你呃世纪初开始不断的其实有西方人就到这个四川来进行了很多的考察，包括这个法国人的学科蓝啊，像这个嗯，每个个人还德国的博世慢什么的，它不仅了考大学就出了很多的这个书籍啊，或者是介绍所以这个我想对这个当时这个营造学社去，这个四川进行考察，可能也起到了一定的这个这个参考作用吧，这个我觉得因为那个像汉缺什么，在这个谢阁兰的这个书里面都已经早就就就这个就明确这个并不是他们的发现。
