[0:0.610,0:4.875,0]  欢迎收听B端今天是不相关的第二期大家好约定
[0:4.875,0:7.600,1]  哎你好我是古村大家好我是徐霞
[0:7.830,0:9.180,1]  大家好我是超人
[0:9.330,0:28.820,0]  下关是一项讨论历史话题播客节目每周四补我们的网址是最佳观点哈最近大家使用翻译总顾客总冠军苏军因为这个是第一时间听到下关的唯一方法下班是N多个网络学校的节目关于播客客户端的推荐SF
[0:29.730,0:34.730,0]  嗯在进入今天的手机之前呢我想我们先要解决
[0:35.020,0:38.420,0]  因为金冻结我们上一期节目反馈的一个问题
[0:38.720,0:44.200,0]  这个问题提的非常到位可能出问题的激动也是带来利
[0:44.620,0:47.710,0]  他就是主播超人的占地
[0:47.710,0:54.330,0]  对干爹的姓名的姓给我们就接不到了吧你那边来我们还想请超跌
[0:54.330,0:56.400,0]  黑道的节目中了所以
[0:56.560,0:58.380,0]  暂时先保持神秘
[0:58.800,1:2.460,0]  呃创要不要来传达一下根据反馈呀
[1:4.960,1:6.650,1]  那个反正就是
[1:6.890,1:16.580,1]  认为这个就是可移动文物就是逐句逐句霞所呃古村老师所谓的这个可以论文我其实也是有这个属地关系的
[1:17.330,1:20.040,1]  特别是我们因为也是
[1:20.300,1:23.320,1]  一一起去的这个伊朗他那个
[1:23.530,1:26.760,1]  我们看的这个现在馆藏在这个
[1:26.790,1:28.600,1]  伊朗德黑兰国家
[1:30.260,1:34.270,1]  中国的元青花瓷器其实当时属于这个
[1:34.580,1:37.770,1]  呃伊朗的这个阿布比尔神庙
[1:38.010,1:41.200,1]  包括我们在那个一直法汉的这个
[1:41.650,1:46.880,1]  反正什么伊斯兰的皇宫吧他那个里面就是有一间屋专门是
[1:49.130,1:56.880,1]  屋里有大量的避开每个必看其实就按着当时所藏的那个瓷器和器物的形状修了这个
[1:58.710,2:0.610,1]  小毕看专门放这个
[2:1.410,2:5.060,1]  然后就是整个屋子都是那样的所以就是他就是
[2:5.250,2:9.770,1]  包括我们中国的很多文物其实就是可移动文物也是有这个
[2:11.550,2:17.750,0]  就是说这个元青花在这个群庙里的摆放位置其实是很有讲究的还是这些
[2:17.960,2:23.420,0]  这些信息对我们了解这脾气也还是很重要对吧是这个意思吧
[2:23.460,2:27.670,1]  对就包括像墓葬出土的这个位置摆放
[2:29.910,2:36.020,0]  那那个就是要不要回应回应一下因为这上次不跟你说的这个
