[0:0.000,0:4.990,1]  欢迎收听陛下关今天势必下关的第27大家好我事业编
[0:5.050,0:8.210,0]  大家好我是徐霞哎你好我是竹子
[0:8.210,0:26.540,1]  陛下观士一旦讨论艺术史话题的播客节目每周四播出我们的网址是陛下观点com推荐大家使用泛用型播客客户端订阅收听地下关是IBM播客网络旗下的节目关于播客客户端的推荐请访问ipn.i斜杠FQ
[0:27.830,0:57.610,1]  呃今天开始之前呢我不想先先补一件事情呃到今天地下关已经开播了有20几了今天就是第20节呃之前他一直有听有一直问我们就是呃什么时候启动会员计划呃现在我们经过这段时间的这个这个呃感受听有的这种热情以及我们评估自己的产能之后我们现在决定呃可以跟大家
[0:57.950,1:0.740,1]  通报一声我们现在决定启动会员计划
[1:0.920,1:23.270,1]  我们鼓励您成为会员每月五美元支持我们将地下观光车到底进入更深更远的历史现场直面谷物针剂提问与古人神节的一具呃对会员计划感兴趣的精油请访问陛下观点com这些杠memberb下关的全拼点com斜杠MMB2
[1:23.830,1:25.640,1]  呃今天
[1:25.880,1:32.560,1]  我们要继续的是我们从上一批开始的一个小型的系列呃的一个策划
[1:33.070,1:34.760,1]  叫做龙兴之地
[1:36.940,1:42.090,1]  第二站呢我们要去的是这个福建省的福州市
[1:45.210,1:49.140,1]  那个二位你们对福州有什么有什么要说的吗
[1:49.200,2:14.240,0]  我去福州其实我去福州大概有三次但现在实际上我感觉还是很乱的就是很破碎的那种记忆嗯但是每次去呢是觉得他的文化越来越深因为相对于福州来说我可能福建省更喜欢泉州这个城市就你感觉气氛就很很热烈啊所以对福州呢实际上我还
[2:14.590,2:40.820,0]  嗯没有太多很深刻的印象但我记得有一个很有名的一个古建筑是可能大家会比较感兴趣都会谈到就是华林寺对这块204是个很重要的建筑当时当年我去福州的时候可能就是主要就奔着华林寺去这个华04304应该是我们长江以南现存最古老的木木木结构建筑
[2:42.250,2:46.970,1]  嗯是是早于这个宁波保国寺的是吧那当然了
[2:47.270,3:20.180,0]  还挺有意思华林寺呢其实大家如果去百度啊或者什么Google一下可以看到两种说法一种说804乡道北宋建筑一种说法零四叫不太建筑其实这个里头挺有意思嗯怎么说呢其实华林寺呢是建于964年这个是应该是比较明确的那964年按照我们这中国历史年表应该北宋是9602961嘛那应该已经是北宋了应该是宋太祖的这个钱得二年了但哈尔滨那个时候这个
