[0:0.170,0:4.130,0]  今天是第下关的第21期大家好我是徐霞
[0:5.090,0:9.470,0]  陛下关系一旦讨论艺术史话题的播客节目每周四播出
[0:9.970,0:12.650,0]  我们的网址是B下关点com
[0:13.260,0:16.630,0]  推荐大家使用泛用型播客客户端订阅收听
[0:16.940,0:19.860,0]  因为这是第一时间听到哔下关的唯一方法
[0:20.850,0:23.910,0]  碧霞关系ipn播客网络旗下的节目
[0:24.320,0:30.460,0]  关于播客客户端的推荐请访问ipn.i斜杠SQ
[0:30.890,0:35.110,0]  今天也是B下关开通会员计划以来的第一期博客
[0:35.700,0:39.940,0]  这里我仅代表B相关的所有主播感谢大家的热情参与
[0:40.770,0:43.840,0]  我们每周会制作一篇会员专享的通讯
[0:44.620,0:47.410,0]  因为陛下官司讨论艺术史话题的播客
[0:47.650,0:55.500,0]  我们的目标是想制作一个图文并茂以后还会再有声音和视频的多栏目多媒体的电子杂志
[0:55.740,0:57.300,0]  希望大家能够喜欢
[0:58.770,1:2.050,0]  我们鼓励名成为会员每月五美元
[1:2.240,1:4.570,0]  这是我们将地下光观车到底
[1:4.720,1:11.810,0]  进入更深更远的历史现场直面谷物针剂体位与古人神节的一曲
[1:12.410,1:16.860,0]  如果您对会员计划感兴趣新访问B下关点com
[1:18.800,1:26.150,0]  也就是地下关的拼音全拼B下关点com斜杠MBR
[1:27.970,1:34.270,0]  开始今天的主题讨论之前我还要向大家介绍一个正在美国博物馆中举办的特色展览
[1:34.610,1:39.810,0]  我自己已经亲身体验过感觉水平很高所以特别向大家推荐
[1:40.670,1:48.150,0]  这就是在美国首都华盛顿赛克勒艺术博物馆举办的吴门画派和诗书画三绝
[1:49.000,1:55.910,0]  咱俩从4月26号开幕至7月24日结束地点在赛克勒博物馆的地下一层
[1:56.730,1:59.720,0]  因为主题是吴门画派所以
[1:59.980,2:8.850,0]  在咱俩中我们能看到著名的这个吴门四大家文征明沈周唐寅和仇英的重要作品
[2:9.200,2:19.740,0]  就我自己个人的体验我感觉有这个文征明沈周和仇英作品呃相当精彩而塘营的两幅作品呢这样子的相对较弱一些
[2:20.620,2:38.410,0]  吴门画派以外呢这个展览还拿出了像杜景现实成成成这样这个明代的这个一流画家的这个重要力作嗯画作不仅来自弗利尔来自这个赛克勒还有来自这个
[2:38.580,2:44.390,0]  就是从美国印第安纳波利斯博物馆美国纳尔逊博物馆进来的这个展览
[2:45.220,3:13.010,0]  大家知道福利院美术馆是这个美国国家博物馆中已收藏亚洲艺术为特色的一个博物馆但是弗利尔博物馆已经现在正在闭馆这个整修之中要到2017年才正式对外开放所以呃在美国首都华盛顿组织这个亚洲艺术展览的现在主要有福利二的姐妹馆赛科了艺术馆承担而这个吴门画派和诗书画三绝呢是赛克了艺术馆
[3:13.320,3:16.470,0]  精心策划的一个明代绘画的大展
[3:17.170,3:26.760,0]  关于这次展览的详细信息呢我们我还会在我们本期的这个汇源通信中给大家有更多的介绍
[3:28.360,3:33.350,1]  那么我们前几期在这个咱们中国
[3:33.650,3:35.960,1]  大江南北啊这个
[3:36.210,3:43.780,1]  哦用了不少的地方怎么这一期呢我们把大家再带回到这个美洲大陆那个
[3:43.900,3:47.840,1]  我们来寻访一个就是给大家介绍一个
[3:48.350,3:49.270,1]  非常
[3:49.460,3:51.940,1]  富有中国产品的一个博物馆
[3:52.400,3:54.800,1]  而且呢这个博物馆呢还
[3:55.000,3:57.120,1]  不是特别为人所知
[3:57.290,4:0.320,1]  因为它的地理位置也是比较的这个
[4:2.080,4:5.830,1]  这个取消你知道这个我说的是哪个吗
[4:6.260,4:27.570,0]  呵呵我当然知道你说的是哪个这个你也不用卖关子我们直接可以和大家说这个博物馆其实就是非常著名的可以说是北美收藏中国艺术品的顶级的博物馆之一名字叫做呃SF中文我们班翻译成呃那训@金斯艺术博物馆
[4:27.570,4:34.470,1]  对这个博物馆呢的确是既不在美国的东海也不在美国西海也不在美国任何的大都会
[4:34.620,5:8.450,1]  大都市圈了大都会的地区嗯他呢是在美国的秘书里走啊MC里头给个给给付闹的就是那个和马克吐温的这个故乡对吧嗯嗯那个秘书李周的西边一个叫堪萨斯城的地方但这个呢在美国的搞得美国的还另外有一个就他旁边一个宗教堪萨斯走这个堪萨斯州它也有看法四强就是秘书里头的看法思想实际上这两个城都要开始强但是属于不同的周隔了一条河那么就这样的一个就是地理位置的一个情况
[5:9.190,5:27.580,0]  是这个堪萨斯城啊它是呃挎着衣一条大河的东西两岸但是它的城市的主体呢在这个秘书李周呃西边和西边的数亿堪萨斯州呢它有一小部分但是不是特别重要所以我们讲到堪萨斯城的一般就是讲SC里呃美瑞
[5:29.340,5:38.180,1]  那么这个周呢这个城市呢呃喀纳斯城的其实现在当然有点这个木屋啊他这个其实在上个世纪
[5:38.190,5:46.200,1]  初七八还是美国比较重要的一个就是好像是两是粮食出口还是怎么样的反正一个就是
[5:46.200,6:9.600,0]  应该是028因为它是这样因为当时在特别在第二次世界大战之前吧这个因为它这堪萨斯城啊他是在美国的所谓的教地理中心就是南北东西他正好在一个终点这个位置上所以呢他铁路它这个铁路枢纽是当时中西部地区的年化呀量是这样一个一个集散中转基地
[6:9.740,6:12.420,0]  所以还是比较有意思的
[6:12.420,6:18.440,1]  有一定的这个地理重要性吧尤其在那个手他这些年是呃有些衰退啊这个
[6:19.860,6:28.540,0]  特别从二次大战世界大战第二次世界大战西岸星期以后呢这些中西部很多城市呢就衰落的比较厉害当然这个天色CD也是
[6:30.440,6:36.100,1]  但是呢在这个上个世纪初呃就是早期啊这个他们这个
[6:36.790,6:43.600,1]  就看他非得作为一个新新城市啊它这个也有这个富翁来捐这个捐资来
[6:43.600,7:9.890,1]  办这个墨镜这个在美国当时在19世纪末20世纪初是非常风行的很多城市的这个大的这个博物馆都是有这个当地的这些啊这个富户啊知名人士啊这些来捐款的当时这这个名字就阿金落下的金斯实际上也能看出他是这样原来是主要的两个这个捐款人来组成的这个博物馆对不对
[7:11.430,7:12.950,0]  其实呢这个
[7:13.960,7:23.070,0]  那兴博物馆的历史其实不是很长从今天算到他是1933年12月份开的正式开馆的算到今天也不就是80多年吧
[7:23.300,7:26.830,0]  呃然后他这个博物馆呢
[7:26.990,7:28.920,0]  当时是有两位
[7:31.670,8:5.790,0]  其实都是属于遗赠了就是去世以后把自己的家才捐出来一位呢是来自这个纳尔逊这位先生他呢其实也就是当地的一个办当地一个报纸的这么一个当地的报业大王吧但是手上还挺有钱的所以他把自己的财产捐出来了还有一位呢是因为这个付双就是她丈夫过世的早然后他自己继承了大笔财产它就是艺术爱好者这个就是@金斯夫人所以他在去世的时候呢也是无独有偶啊也把自己的财产
[8:6.080,8:19.460,0]  捐出来捐捐捐捐出来的意思是什么呢就是居然给了一个特别的有特别目的的一个理事会这个理事会的管理这笔资产以后的目标呢就是要建立这么一个
[8:19.730,8:23.920,0]  一个就是说对公众开放的收藏艺术品展
[8:25.220,8:44.180,0]  就是展示艺术品的这么一个grande或者将近对所以两边都是这么个情况所以一开始呢这两个理事会就是那训一阵这笔钱的理事会和@金斯夫人一阵的这笔理事会呢是分开运行的而且很巧的是什么呢就是他们捐出来以后啊
[8:44.260,8:47.710,0]  正逢美国经济的一个飞速的一个发展
[8:48.280,9:20.920,0]  所以这两个理事会管理这两笔钱啊都这个这个财富增长的很很厉害所以以后到了博物馆正式开始运作的时候呢正好就是大概1929年大萧条的时候所以他们的资产不但就是说就是在大萧条之前已经生了很多次了然后准备花这笔钱的时候大萧条来了一下子很多艺术品又降价这个艺术品市场非常好因为这个暴跌嘛所以他们这个味这个博物馆购买艺术品提供了一个很好的这么一个机会所以这是一个很有意思
