[0:0.155,0:5.200,0]  欢迎收听地下关今天势必下关的第22期大家好我是酒店
[0:5.200,0:6.580,1]  大家好我是古村
[0:8.140,0:16.440,0]  地下关士一旦讨论艺术史话题的播客节目我们的网址是更加观点com推荐大家使用三里亭播客客户端订阅收听
[0:16.770,0:23.740,0]  地下关是IBM博客网络旗下的节目关于播客客户端的推荐请访问ip.s斜杠SDQ
[0:24.090,0:29.210,0]  我们鼓励您成为B下关的会员每月五美元支持我们将定价观贯彻到底
[0:29.450,0:34.310,0]  进入更深更远的历史现场直面服务真习题位于古人神接的意趣
[0:34.710,0:38.590,0]  关于会员计划的详情请访问地下关点com斜杠member
[0:39.100,0:42.600,0]  这周开始预算世界进入了斋玉
[0:42.910,0:45.160,0]  啊所以我想
[0:45.350,0:50.470,0]  请问一下左超人嗯你今天如果我们要聊一个
[0:50.690,0:52.940,0]  所教美术的话题或者更改一下
[0:52.940,0:54.610,1]  啊佛教美术
[0:55.620,0:57.430,1]  这跟家里有什么关系啊
[0:57.760,0:59.925,0]  跟专业有什么关系可能我
[0:59.925,1:13.720,0]  我待会说一下我想你先呃说说介绍一下要不就是穆斯林世界的斋月大这个起源是什么意思或者说然后你现在应该有就是在这在这段时间之内你会怎么样
[1:14.380,1:15.880,0]  行为上有哪些调整
[1:15.880,1:18.860,1]  这月这月说起来挺乱的吗
[1:18.970,1:27.030,1]  嗯怎么说呢因为中国医学规定像北京地区你今年6月6号入宅
[1:27.160,1:30.030,1]  呃我相信西北的
[1:30.130,1:35.200,1]  这个把它比较快以后bonnie教派应该是6月5号开始入盖的
[1:35.850,1:40.070,0]  这个是根据月月向来调整的是吧是阴历
[1:40.070,1:42.980,1]  对这个那个就是他的
[1:43.010,1:45.380,1]  选择的日期是根据月相的
[1:46.520,1:54.290,1]  嗯但是北京的这个6月6号就是一些公布的呢应该是根据和数十就是说根据纯天文的利率算
[1:54.520,1:59.235,1]  呃就是说那个沙特阿拉伯麦加6月5号
[1:59.235,2:6.150,1]  在北京时间6月5号进入待遇然后呢北京时间要到那个月相在北京这个精度
[2:8.470,2:11.200,1]  这个基础斋月但是又由于
[2:11.360,2:15.370,1]  这个古代像1300年前这个
[2:15.600,2:19.860,1]  没有天文历算这么严格当时是只要卖家进入了
[2:20.010,2:24.890,1]  这个专业之后就可以传播就可以告诉别人我们都可以封斋了
[2:26.580,2:30.180,1]  这个跟海外联系比较密切的这个
[2:31.060,2:38.450,1]  呃西北的巴哈比较快和一会儿你叫拍呢他们就会沙特移入斋他们也入站但是实际上它的那个
[2:38.650,2:42.040,1]  呃地理学精度上并没有进入这个
[2:45.000,2:49.450,0]  那这个起源是什么为什么会就是选择在这个时候进入在于
[2:49.450,2:52.670,1]  园园是这个伊斯兰
[2:55.600,2:57.830,1]  呃班降的古兰经
[3:1.700,3:3.810,1]  穆罕默德圣人这个
[3:4.250,3:6.050,1]  第一句古兰经的
[3:11.360,3:14.810,0]  因此就用斋月来劲分开来纪念这件事情
[3:15.770,3:21.580,1]  对然后确定整个这个月为这个这个寨悦莱麦丹月
[3:22.690,3:26.560,0]  然后他们就是在这个月需要这个
[3:27.770,3:32.470,0]  那个那个断绝情欲以及什么就是在日落之前
[3:33.060,3:36.100,0]  不能伙食还是说不能就干脆不能吃东西
[3:36.320,3:40.230,1]  这个情欲也是在有太阳的情况下不行
[3:41.040,3:43.100,1]  不是不是整个一个月
[3:45.920,3:48.540,1]  整个是从日出前
[3:48.660,3:50.520,1]  的这个东方发白
[3:50.550,3:52.860,1]  东方既白到这个
[3:55.270,3:56.540,1]  不可以
[3:56.780,3:59.490,1]  饮食就是也是水也不可以喝
[3:59.700,4:1.720,1]  然后不可以吃
[4:3.010,4:11.570,1]  这个不可以吃东西但是有特殊情况比如说病人孕妇呃乐那个来例假的这个妇女
[4:12.710,4:17.500,1]  什么的都可以吃哎包括好像一个还有厨师可以尝菜
[4:19.670,4:23.330,1]  那个就是你你如果是仆人你为了非穆斯林
[4:23.440,4:25.200,1]  这个服务的话你可以
[4:26.440,4:27.900,1]  读取过分啊
[4:27.900,4:31.910,0]  所以说并没有规定不能谈论一觉的话题
[4:33.680,4:35.630,1]  呵呵哦
[4:35.630,4:38.030,0]  是吗是这样的我要跟他确认一下
[4:38.270,4:45.220,1]  哼没有吧但是你这个古代没有这么多医疗啊提
[4:45.940,4:52.680,1]  当时很多没有限制的事儿是大家类比了但是如果那个原教旨主义的话肯定是按照
[4:52.910,4:58.050,1]  你古兰经让干什么不让干什么里边没写就就可以
[4:58.470,5:6.310,0]  OK那我们就放心了不我那个为什么会在节目一开始就是他们这么发达不着的话题呢其实是因为
[5:6.450,5:9.030,0]  呃因为斋月这个词
[5:9.320,5:11.330,0]  在汉语里面其实
[5:11.730,5:14.230,0]  是从佛教借用就是说
[5:14.980,5:19.080,0]  可能穆斯林本身他这个意思这这件事情这个行为
[5:20.500,5:24.350,0]  呃他的称呼在汉化的时候是借用了
[5:24.470,5:26.170,0]  呃所教的
[5:26.310,5:29.670,0]  你有的这么一个一个一个称为就是在汉语试卷
[5:30.220,5:41.680,1]  嗯因为在汉语世界这个伊斯兰教传教用了很多汉语世界有的词汇特别是因为它也是宗教所以它类比了很多佛教用语倒掉
[5:41.680,5:43.640,0]  是吗那还有什么还有什么和调用
[5:45.930,5:50.370,1]  你想像什么归一什么微针
[5:51.670,6:1.370,1]  像那个伊斯兰教在民国的时候好像这个清末民初的时候还专门的提出来要外如内衣
[6:2.520,6:6.210,1]  外外表像这个如家一样然后那
[6:7.010,6:8.520,1]  那里然后
[6:8.700,6:12.790,1]  就是中国的伊斯兰教为了融入这个中国社会
[6:15.350,6:24.060,1]  这倒挺有意思的这个我觉得你刚才提的这个外如内衣跟这个这个天主教基督教讲的这都是异曲同工的一种
[6:24.320,6:32.180,1]  一种思想对呀你像那个天主教什么景叫过去还叫天王的是吧洪秀全他们也是
[6:32.470,6:34.420,1]  都是借用的佛教用语
[6:35.710,6:44.350,0]  嗯那如果这么说的话就天王其实也不能是国教育啊不过这就扯远了那个回到这个话题是这意思就是说
[6:44.550,6:53.380,0]  呃我想说的是其实有点巧合我很想提到这个事儿呢因为这个月其实也是佛教的专业就是国家其实也是有专业的
[6:53.740,6:58.200,0]  他的专业是阴历的啊就是不是他农历的
[6:58.410,7:1.950,0]  正月和五月还有九月吧然后正好这个
[7:2.180,7:5.820,0]  这周也是五月初就容易五月的开始
[7:6.930,7:12.060,0]  就是佛教徒如果他信守这种比法官斋戒啊或者说这种斋月的这种传统
[7:15.400,7:28.410,1]  那是那那其实是今年政策十月这这在立法上这个其实也还有点儿有意思的是就是中国人老觉得自己这个农历叫阴历
[7:29.530,7:32.690,1]  这个原来我们记得上学的时候老师还跟我们这个
[7:32.750,7:36.540,1]  百货股这个阴历有多么多么科学其实
[7:36.750,7:40.110,1]  其实中国实际实行的是阴阳和合利
[7:42.090,7:51.230,1]  阳历部分其实是传教士给咱们告诉咱们的那个拿古代24节气的名字对到这个西方的太阳历系统里
[7:52.660,7:58.090,1]  阴历加的这个润呢也是明明朝初年才加出来的吗
[7:59.720,8:4.650,1]  几年14年有一个闰月但是日月老换的这种方式
[8:5.290,8:13.140,1]  但是你像伊斯兰世界就完全不一样伊斯兰世界因为它生活的那个区域早期成熟的区域基本上是
[8:14.620,8:17.260,1]  就是不是四季分明的他是
[8:17.350,8:19.440,1]  热带地区就是前后
[8:19.480,8:23.190,1]  他只有旱季和雨季的可能连语气都没有吧那个
[8:24.040,8:26.090,1]  和那个中东的那种气候
[8:27.530,8:30.270,1]  它所以它实行的是纯引力
[8:30.350,8:32.770,1]  纯引力造成他每年都比
[8:32.900,8:36.990,1]  这个太阳历少时一天所以大家会发现
[8:37.280,8:44.650,1]  就是我这个伊斯兰历的九月的这个斋月在每年都往前提前11天每年都往前提前11天
[8:45.080,8:47.040,1]  就是他永远在这个
[8:47.320,8:49.410,1]  这个杨丽丽不是固定
[8:51.060,8:54.320,0]  好吧这次地下观天节目播送完了
[8:54.690,9:7.240,0]  呵呵呵我们开始那个讲一下我们的正题呃其实今天的话题跟我们我前前前上周和超人一起
[9:8.190,9:11.930,0]  呃一个小小的旅行有关系这种去河北的
[9:13.340,9:19.820,0]  呃看了两个博物馆的其中有一个是就是去年刚刚开放的一个新的博物馆
[9:20.090,9:22.225,0]  在临漳县
[9:22.225,9:25.750,0]  临漳县有一个就是这个线其实是一个
[9:25.940,9:32.050,0]  国家级情况下就是县里英文可观但是它新建了一个叫临漳佛造像博物馆
[9:32.670,9:36.450,0]  呃如果你在百度地图上搜索的话是搜索不到
[9:36.670,9:41.230,0]  呃如果你搜索临漳佛照相博物馆却能做到
