[0:0.000,0:3.870,0]  今天是必须要关的第23期，大家好，我是竹子。
[0:3.870,0:5.130,1]  大家好，我是古村。
[0:5.130,0:28.740,0]  喂，你好，我是超人的家关系一张讨论艺术史话题的顾客节目每周四播出我们的网址是B下关点com推荐大家使用泛用型播客客户端订阅收听，因为这是第一时间听到比较关的唯一方法比较关系ipn播客网络旗下的节目关于播客客户端的推荐，请访问ipn.i斜杠SQ。
[0:30.230,0:36.980,0]  嗯，我们是二次聊的是曲阳，其实呢，我们走在强之前的一个月我们。
[0:37.090,0:58.650,0]  嗯，去了东北，因为曲阳让大家颠覆了三观，所以就迫不及待的和大家分享，然后我们去在五一的时候去古村老师刚刚从美国回来，第二天我们这天天晚上到达我们第二天就奔赴东北那这次旅行的主要目的呢，想奔着。
[0:59.500,1:4.310,0]  因为我们在波和李杰说很多次把大辽勾他聊够的。
[1:4.480,1:5.620,0]  所以。
[1:6.030,1:8.950,0]  应该说是最东边的一个。
[1:9.180,1:11.400,1]  对也应该是说最大的一个。
[1:11.400,1:17.290,0]  哎，对他应该是最大的，因为一说到他大呢，的确就让我。
[1:17.330,1:19.930,0]  你去那里就产生了错觉。
[1:20.370,1:21.820,0]  喂，那个。
[1:22.070,1:26.000,0]  其实我是去过上海一次的大雄宝殿。
[1:27.390,1:36.600,0]  但我的印象就是就就没有这个公司给我的那么强烈，我就一直在在说他打可是而且我还觉得他高。
[1:36.780,1:43.170,0]  我觉得他就很雄伟，超过以往所有的这个聊在电子的感官。
[1:43.370,1:52.750,0]  那回来一查济查资料，就发现自己的错了，他既没有那么大，也没有那么高就就如果说上上午还塞大学。
[1:52.750,1:57.140,1]  呃，那感觉还是对的，因为那个的确就跟我刚才讲的。
[1:57.600,2:4.680,1]  呃，你刚才说的是那个下滑一次大雄宝殿的那个的确是最大的，但是那个不是鱼疗带的。
[2:5.900,2:7.060,0]  嗯，对对对。
[2:7.060,2:9.500,1]  嗯，它不是辽代对他不是辽代。
[2:11.370,2:31.000,0]  嗯，那的确我我是觉得因为我我一直想那个我就就是在上华严寺看那个大雄宝殿的时候认知的这个高台的台机的这个这这种建筑形式，然后就觉得那个已经很很高的我就看到奉国寺的时候，我觉得要比他高得多，但时间别太整整低了一米。
[2:31.000,2:56.520,1]  其实咱们这个今天聊这个奉国寺的我觉得先给听众就是说普及几个概念啊，一个呢，我们其实星期天要讲的，要的就是一个辽代的一个问题，那大家知道辽代是北方契丹民族所建立的一个王朝大概就是有200年的时间，那为什么这个辽代特别特殊呢，因为它辽代实际上呃，它是跟那个我们所说的大唐盛世有一定的传承关系的。
[2:56.520,3:3.000,0]  对他是不应该是梁思成写这个中国建筑史的时候的号键17。
[3:3.000,3:21.300,1]  哎，对对对对那个就是梁思成在分这个中国的这个缎带的时候，它分的好，经实习什么哈，机智17什么这样的这阿城核实其对，因为那个这里面有一些历史的一个原因一个大家知道这个唐代的灭亡呢，大概是在公园呃。
[3:21.480,3:23.130,1]  907年。
[3:23.620,3:43.510,1]  那么辽代的建立呢，大概是在公元916年就业率啊，宝鸡建立这个辽国，那么这里面其实相差的很短，为什么就说这两个朝代就是说相差很短，而且有有一定的传承关系呢，这里面涉及到一个问题呢，就是说当时就说辽代了占据的中国的一个北方的一个。
[3:44.470,4:7.990,1]  地区尤其大家知道这燕云16州对吧，燕云16州在五代的时候被哥给了辽代，其实这一部分地区呢，哥的时候呢，他带了，不仅是领土哥给他聊聊过他的所有的土地上的很多这个文化的这些呃，传传承，虽然也被辽代所传承下去了，所以辽代呢，相对来说呢，是直接继承了很多这个。
[4:8.360,4:26.680,1]  唐代的一些宜丰吧，而我们其他中原地区呢，因为有了五代，有的宋代以后的呃，这个艺术风格的继续往前面发展，而这个辽代呢，相对来说呢，保持的很多，这个唐代的这个风格，这是这整好跟中原等于是有点这个分到。
[4:27.350,4:29.080,0]  改你是求诸野。
[4:29.990,4:54.900,1]  哎，也可以也可以这么说，其实，其实咱们还有一个就是这个讲的班，刚才那个主讲的八大聊过，咱们可以数一数八大辽构的就是是哪八大两个科普一下就说我们录播在我们如果按照这个咱们按照这个时代先河来说就是呃，第一个最老的呃限制的聊够呢，是这个在河北涞源的这个阁院寺摩擦的事件。
[4:54.970,5:5.730,1]  哎，再来一下对在大家记得超人念的这个元素，那个碑文哈，那个文革严肃的文书店，它是鉴于这个公园966年。
[5:5.990,5:26.170,1]  即使以致最早的一个就是辽代的建筑，那么下面的就是有两个实际上是一处就是在咱们现在天津的那个蓟县的这个独乐寺独乐寺位数收两个呢，因为他一个是山门，一个是独乐寺后面的观音阁，所以算两个聊够它的建造年代呢，是在公元984呢。
[5:26.490,5:42.240,1]  那都超过距今的超过1000多年了，那么这里面第三就是说排位第四的或者第三古老的，那就是我们今天要谈的这个辽宁省义县的奉和四的这个大大雄宝殿，它是建于公元。
[5:42.570,5:43.880,1]  1020。
[5:44.200,5:47.370,1]  基本上差不多就快呀，有1000年的这个历史。
[5:48.000,5:52.640,1]  那么再往下呢，就是大同的这个下华严寺的薄伽教藏。
[5:52.840,5:55.740,1]  它是建于公元1038年。
[5:56.270,6:3.170,1]  那么再往下呢，就是咱们损很伟大的这应羡慕塔是建于公元。
[6:3.270,6:4.690,1]  1056。
[6:5.050,6:20.680,1]  那么，这是六个还有下面两个辽代的建筑呢，没有一个太明确的一个纪念一个呢，就是河北新城的开善寺，还有一个叫大同的那个善化寺的后面的大雄宝殿这两个呢，没有一个明确的纪念，但是呢。
[6:21.030,6:31.630,1]  学界的对一致认为他们是辽代中后期的建筑，那么这样加在一起呢，我们就有八个聊过，那大家可以看出这八个聊过里面，除了这个易县的宋国自以为。
[6:31.890,6:36.680,1]  其他那七个聊过基本都在咱们所讲的燕云16州的范围。
[6:38.580,6:43.930,0]  所以这个这个奉国寺就就有点奇怪了，就说他。
[6:44.530,6:47.380,0]  哎，对为什么是在这样一个地方。
[6:47.700,7:0.530,1]  对这个呢，实际上特别有意思，因为什么呢，因为奉国寺的的确就是说流传到现在的一个就是文献资料比较少，呃，只是知道他是鉴于这个辽圣宗。
[7:0.770,7:20.120,1]  嗯，开泰九年，那这个呢，有很多的证据啊，这个因为那个资料里面检测咱们看那个呗，里面金代的呗，里面有讲这个事件与怎么什么时候还有一个呢，就是我查了一下资料，就是说在那50件代收那个做过凤凰城，那考察当时呢，奉国寺里面还有和尚，那个有一个主持曾。
[7:20.180,7:30.950,1]  那个人的明白有没有些叫叫善善纯法师，他说呢，在光绪八年的时候，大概是一八级几年的时候说，那时候从房顶掉了块木头下来。
[7:31.350,7:37.560,1]  那块木头呢，就是就是一般他这个木头呢，就是你知道就说人家上梁不是要贴。
[7:38.310,7:46.550,1]  就第一块木头上去，就是说把那个比方上梁的给予他那个木头上写的叫呃，辽开泰九年正月14日。
[7:46.710,7:49.200,1]  十十四日起工。
[7:50.140,8:11.640,1]  就说动工的这个这有一块觉觉觉吧，门齿的一块幕屏就掉下来了，就以此呢，也证明就背上讲的这个呃，这个凤和四建于辽开泰九年就是公元1020年的一般是比较确凿的，但是这里面有个问题就是说是谁建的呢，这个就有好多住宿风云在理。
[8:13.370,8:26.420,0]  对呀，他水电，因为我我我看到资料和这个首付我查的百度上是说和这个肖太后啊，和这个羽绒旭是有很大关系，但是是不是这样。
[8:26.750,8:29.370,1]  因为那个艺龙叙事啊，就是两种宗。
