[0:0.000,0:1.480,0]  欢迎收听陛下关
[0:1.620,0:3.850,0]  今天是第下关的第24期
[0:3.850,0:6.455,1]  同时也是不物质的第44期
[0:6.455,0:11.190,0]  呃陛下关和博物志都是ipn博客网络旗下的节目
[0:11.390,0:14.540,0]  您可以在MPn.L收听我们的节目
[0:14.540,0:20.290,1]  推荐您使用泛用型播客客户端收听因为这是最快听到我们节目的唯一方法
[0:20.330,0:33.560,0]  呃陛下观和博物志都开通了会员计划关于会员计划的详情请访问陛下关就是拼音B下关点com斜杠MMB2
[0:33.560,0:39.900,1]  关于不是会员进来的详情请访问博物志点FM斜杠版本大家好我是网银
[0:39.910,0:42.190,0]  大家好我是奇侠大家好我是古村
[0:42.190,0:46.190,1]  今天非常的开心能和两位呗在一起路
[0:46.190,0:56.780,0]  哈哈哈哈呵呵ad小妹妹你好呃万一不是小不是小妹妹小侄女变成oios呀我我乱了骚扰
[0:56.780,1:8.230,1]  今天是服务智和下关的其实严格意义上说已经不是第一次串台节目了因为超人在我们这儿已经路过三期两期节目和一期会员通讯对吧
[1:9.550,1:12.840,1]  嗯但是但是呃只受理今天是第一次穿台
[1:13.590,1:15.490,0]  嗯第一次联合播出
[1:15.490,1:26.670,1]  嗯对自己和不出呃所以如果是没有听过不物质的B下关的听众呢你要做好心理准备因为本期会被我带的非常
[1:27.090,1:34.760,1]  嗯就会破坏一下比萨关东平时那个严肃和干货多的气氛嗯嗯
[1:34.760,1:39.240,0]  为什么会觉得这下关很严肃呢是不是有这个代沟啊
[1:39.240,1:48.200,1]  或许真的有一点嗯而且我不仅觉得你们严肃你们俩的声音我还分不清所以所以所以真的
[1:48.200,2:1.595,0]  这是对这是很多这个听友反映的问题说我和这个古村老师的声音很难区分开来可能我们表达的这个方法有点像吧所以这个呀这个我们会改进那以后要靠观点不同来区分
[2:1.595,2:4.150,1]  啊好的
[2:4.150,2:6.540,0]  而且要靠要靠角色不同来区分
[2:6.540,2:29.090,1]  呵呵你们知道在那个地下关的听众群里面大家有各种各样的贴纸如何分辨贾老师和齐霞老师说说看有什么特殊啊有录音质量的区别有说话语速的区别还有我个人觉得最好用的切就是那个启霞老师会讲英语就是偶尔会加英语
[2:29.620,2:53.770,1]  这样啊嗯好吧那就嗯别的就先不扯啦我们那个闲话留到后面慢慢加进来说今天录音呢是呃要讨论一个其实一开始地下关开播我就跟李如一叔叔说过我要录这期的呃是关于宾大博物馆的一期节目
[2:54.790,3:22.960,1]  嗯其实22期的地下官咱们就路过一个关于纳尔逊纳尔逊的就是一个在美国的呃中国的文物收藏比较多的博物馆啦那今天这期节目呢也可以请大家和他和那期参照起来一起听呃我们将来或许有机会的话还可以说说其他的美国有中国文物的博物馆对吧啊对嗯那我们今天要说的就是宾夕法尼亚大学里面的一个
[3:24.240,3:38.310,1]  不管他正式的名称是叫什么来着他叫universitysfrtblganapology所以就是考古和人类学博物馆比亚大学考古ran
[3:38.510,4:38.510,0]  对其实那个美国这个他这个学校的博物馆基本上都跟学校的设置有关系因为冰大他有这个考古系嘛所以他这个博物馆实际上是等于是呃考古系的一个附属的一个教学组织这样就像像芝加哥大学有这样的一个博物馆好像是是吧差不多这个有有对很多学校都有这样的这个类似的博物馆而且这个但是宾大博物馆还是在美国大学的博物馆中还是比较比较突出的就是说他甚至于在早期吧在上个世纪的大概一二十年代他也他们还没到现在这个名字他就直接就叫做大学博物馆你其他大学博物馆就是不提喷ev名字大家都知道是哪个博物馆所以还是非常有名的一个博物馆我觉得还和听众朋友说一下就是您不要以为就说哎就是一个大学的博物馆哎我们这个就对他有些轻视其实这个博物馆还是很了不得的我觉得是一个呃不仅是在中国收藏吧它是在
[4:38.511,4:38.850,0]  嗯
[4:39.020,4:45.200,0]  这个我们这个古典时代的很多文明在收藏上都是有自己的特色而且相当丰富的这个馆藏
[4:45.910,5:5.470,0]  对其实那个刚才我给你提到就是我们这儿七七播出了这个纳尔逊博物馆这两个博物馆台的确是有点有点勾连的比方说我们在那训博物馆讲到了一个那个广胜寺的那个壁画的问题对吧好多那个厅有对这个壁画特别有这个印象深刻那么其实在
[5:5.660,5:37.600,0]  宾大博物馆也有两铺呃他们认为也是来自广生似的这个壁画那么这个时间当然是不是这个咱们待会可以再聊这这是个沟里还有一个比方说这个纳尔逊博物馆有一有一次那个辽代的这个三彩罗汉呃有呃无独有偶这个在宾大博物馆也有同样的能力曾而且保存得相当完好地村这个辽三彩吗他们是出自同一个就是说同样出自一个地方但是不是同一尊啊不可能就是说他哪怕你
[5:37.600,5:39.470,1]  这是一段或者一组之类的
[5:39.470,5:40.960,0]  一组中间的两个
[5:41.590,5:43.930,1]  哦那真的是挺
[5:43.930,5:46.890,0]  对会员费是是有一定的勾连在里头
[5:47.640,6:30.970,0]  对所以刚才反应还提到了就是说我们以后有机会会多聊一些在北美地区收藏中国文物的一些重要博物馆我觉得呃我们平时聊天的时候我们都会把一些就是按照这个博物馆收藏的这个文物的等级啊或者是这个质量的好数量质量上来考虑就是说我们分成一流的二流的三流的这个可我想可能大家会对这个北美收藏的这个呃中国文物的这个博物馆可能有些低估啊其实在美国很多博物馆收藏了很好的中国文物我觉得第一流的就有五六个然后我觉得冰大呢宾大博物馆就是其中之一那第二留的就更多了可能我觉得有十几家博物馆吧都都可以
[6:30.970,6:32.970,1]  咱们先把一流的就点点明白
[6:33.180,6:43.730,0]  好啊一流的比如说呃很有名的大都会博物馆那老牌老牌美术馆波士顿美术馆对吧他美美国国家的这个国立博物馆
[6:43.810,7:7.930,0]  的亚洲部分就是弗利尔美术馆和赛克勒美术馆呃我觉得冰大可能就应该排到这个下面了因为很有特色然后还有比较有意思的就第一流的可能克利夫兰美术馆和旧金山的亚洲艺术博物馆都应该是第一流可能有这么六个八它它有它有哪些博物馆所以至少第一流的博物馆收藏中国艺术至少有八个
