[0:0.000,0:1.580,0]  欢迎收听地下关
[0:1.910,0:6.300,0]  今天是第下关第25期大家好我是栖霞大家好我是古村
[0:6.300,0:7.450,1]  大家好我是超人
[0:7.450,0:13.250,0]  下关是一张讨论艺术史话题的播客节目每周播出我们的网址是B下关点com
[0:13.380,0:16.870,0]  推荐大家使用泛用型播客客户端订阅收听
[0:17.000,0:19.670,0]  因为这是第一时间听到碧霞观的唯一方法
[0:20.150,0:22.990,0]  陛下关系ipn播客网络旗下的节目
[0:23.060,0:27.360,0]  关于播客客户端的推荐请访问ipn.com斜杠
[0:28.720,0:33.600,0]  我们鼓励您成为会员每月五美元这是我们将B下关贯彻到底
[0:33.700,0:35.870,0]  进入更深更远的历史现场
[0:35.970,0:39.470,0]  执念古针剂体位与古人神节的一曲
[0:39.690,0:41.720,0]  如果您对会员计划感兴趣
[0:41.740,0:46.950,0]  清版问陛下关点com斜杠member就是B下关的拼音点com
[0:47.010,0:49.330,0]  斜杠MBR
[0:50.510,0:55.350,0]  那今天病假关会聊一个人物而且是在这个
[0:55.440,1:1.460,0]  中国呃晚近艺术史对中国馆经历都是有很大影响因为人物
[1:1.840,1:32.930,0]  这个人物呢这个人物呢在现在这个影视距离这个特别容易被吸收啊但是我们今天也不细说也不正说而是用艺术史的这个批评的角度来来谈论他我想大家可能已经知道我们说的是哪一位人物这个普通老师这是个卖了个关子啊实际上这个人物呢我觉得就是大家知道的这个啊其实还有几个之最这个它是又是一个好像中国历代皇帝里面活的最长的
[1:33.020,1:35.160,0]  也是单位时间最久的
[1:35.660,2:1.600,0]  那么这个就清代的第四位皇帝就是乾隆皇帝红红利那么为什么就是这个这个我们要说他呢因为其实呃我们从艺术角度做这个乾隆所留给我们的这个遗产非常风控而且我们今天看到的乾隆的很就是清代的很多的这个留给我们的这个建筑园林绘画艺术这些东西都跟乾隆分不开
[2:1.730,2:6.080,0]  这是我们今天为什么要来说说乾隆的一个最主要的原因吧
[2:6.340,2:11.470,1]  我最不明白一点你是什么你们知道那个打观就是那个六爻
[2:12.120,2:18.130,1]  就是拿铜钱算命的那个要求乾隆帝最佳SF
[2:18.130,2:21.610,0]  就是用钱乾隆什么乾隆通宝是最好的是吗
[2:21.780,2:22.780,1]  对对对
[2:22.780,2:34.560,0]  没事我觉得是不是因为河乾隆自己的运气特别好有关系啊所以他他自己自己是十全老人有这个十全武功这个所以他
[2:34.560,2:36.140,1]  真的他当盛世了估计
[2:36.140,2:37.730,0]  就是说他的确是
[2:37.730,2:43.140,1]  再再过再过俩百年就得找最近那个粉潮的伙伴
[2:43.140,2:45.680,0]  但本身会不一定年号啊
[2:46.810,3:0.970,0]  其实但是我觉得乾隆的确因为呃因为我我为什么这么说呢因为乾隆的确是一个在中国这个如果咱们说是这个1840年以前中国古代史的话它等于是一个嗯集大成者
[3:1.190,3:4.690,1]  问题这不是运气运气最好的话
[3:5.140,3:15.930,0]  对而且你知道吗这个在中国咱们就是以前这个出口文物方面有一个限制年来知道吗就说是乾隆60乾隆60年以前的东西是不能出口的
[3:16.210,3:18.100,1]  好像前路40几年我记得
[3:18.100,3:21.500,0]  那是乾隆60年1759年
[3:21.880,3:31.720,0]  就是乾隆60年1759年这以前的东西是不允许出口的前60年以后的东西就加静园嘉庆元年以后的东西那时候是可以出口的所以说二年的
[3:32.120,3:34.520,0]  哎对对对80年代所以前轮
[3:34.520,3:36.140,1]  现在是1949年了
