[0:0.165,0:5.010,0]  大家好欢迎收听地下关我是IBM包括网络的不2万如一
[0:5.130,0:19.930,0]  本月23和24号地下关的主播瞿霞或者纽约大都会博物馆举行市场导览活动在大家欣赏大都会博物馆东亚部成立100周年书画大展以及赛克勒大厅的中国早期佛教艺术展
[0:20.770,0:29.650,0]  如果您听了头两GB下关对古典艺术发生了兴趣希望参照原作形成深入的理解我推荐您报名参加本次活动
[0:31.180,0:42.900,0]  本次活动的费用为50美元除了可以参加两小时的导览之外还可以获得导览录音一份以及徐霞编辑的背景知识图片集和简要的文字说明
[0:43.390,1:13.500,0]  为了获得最佳效果我们对每场的参加人数作了限制若您有兴趣参加这次导览活动请先到B下关的全拼点com地下关的全拼点com查看本期播客内容简介中关于此次导览的详细信息并发邮件到B下关ipn.cb下关的全拼ipn.c注明您的姓名以及希望参加的场次
[1:14.410,1:18.250,0]  我们会将付费方法和活动详情通过电邮回复给您
[1:18.980,1:21.830,0]  那么下面就请您收听第三期B下关
[1:23.350,1:27.350,1]  欢迎收听地下关今天是冰箱第三期打电话有病
[1:27.350,1:28.605,0]  大家好我是古村
[1:28.605,1:30.120,0]  喂你好我是曲霞
[1:30.160,1:31.580,0]  喂你好我是超人
[1:31.750,1:42.740,1]  地下关士一旦讨论艺术史话题的播客节目每周四播出我们的网址是地下观景房咨询大家使用专业性波客户专业水平因为这是基于酒店配套相关的唯一方法
[1:43.060,1:49.640,1]  地下关系es网络底下的节目关于多客服给你推荐挺好的SF
[1:50.860,1:52.300,1]  书接上回
[1:52.900,1:56.240,1]  今天我们要从地上转入地下
[2:0.390,2:1.750,1]  墓葬壁画与
[2:3.330,2:14.000,0]  哎我们是不是简单聊一聊这个就是墓葬壁画的一些呃基础知识或者怎么样的一个因为墓葬壁画并不是从北京才开始
[2:14.600,2:17.560,1]  就中国而言是从什么时间开始
[2:18.330,2:26.400,0]  呃如果现在的考古发现好像这个就是因为这这讲的这个墓葬制度有关系因为那个
[2:26.650,3:4.170,0]  汉代以后东汉以后到魏晋时期他这个墓葬制度改变了就由原来的那种就是呃拿木头做棺椁就是皇朝提速这种形式变成了这个砖石为这个起这个血的这种这种墓葬那么这样的话就没有这个壁画创造了一个条件因为在那个魏晋时期其下发多了发现了很多这各种各样的这个啊壁画形式吧也有这个砖雕的这种壁画也有彩绘的这个壁画比如像那个南朝发现的竹林七贤的这个就属于砖雕形式的壁画那么在这个西北地区啊发现很多这个彩绘的那个就是画像砖的这种
[3:4.700,3:18.990,0]  这都是这个墓葬壁画的一种形式但我补充一下啊就是现在发现的汉代的这个墓葬壁画还是有一些这个实地就像港股陈老师说的随的这个专家呃不是酸掉了这个砖石人是个
