[0:0.165,0:5.220,1]  欢迎收听地下关今天势必下关的第37大家好我是宜宾
[0:5.260,0:8.280,0]  大家好我是曲霞家也好我是肘子
[0:8.390,0:10.040,0]  哎你好我是超人
[0:10.090,0:15.250,1]  B下关是一个讨论艺术史话题的播客节目我们的网址是B下关点com
[0:15.380,0:18.760,1]  推荐大家使用泛用型播客客户端订阅收听
[0:19.170,0:26.320,1]  地下关是itm博客网络旗下的节目关于播客客户端的推荐行访问ipn.l斜杠SHQ
[0:27.220,0:37.890,1]  我们鼓励您成为B相关的会员每月五美元这是我们将被下关贯彻到底进入更深更远的历史现场直面谷物针剂体位与古人神接的意趣
[0:38.270,0:42.380,1]  关于会员计划的详情请访问B下关点com斜杠版本
[0:42.980,0:51.380,1]  时间已经进入八月了呃我们今天那个后知后觉而且严重跑题了想要锤车
[0:51.680,0:53.740,1]  呃毕业旅行
[0:53.890,1:25.060,1]  这件事儿那个圆体是什么呢呃说起来比较简单这是那个B下关的会员给我们贡献的一个灵感呃前一阵儿我在这个微信朋友圈看到我们的两位会员呃他们都是这个今年应该是吧应该是今年大学本科刚毕业然后七月初的时候呢嗯就不约而同上路开始自己的那个毕业旅行而且他们的路线其实是部分重合的所以在途中就就相遇相知相识了
[1:25.060,1:26.340,0]  心里特别有故事
[1:28.120,1:44.340,1]  肯定当然了就是我为什么说这件事肯定也是觉得还是非常有有那个有缘分的吧另外就是我不是特别确定啊他们好像是在这个就是认识之前就是他们遇到之前就已经分别加入了组织
[1:44.910,1:49.590,1]  也就是那个嘉瑞大哥复原计划
[1:50.290,1:57.270,1]  对对对加入了这个相关的会员计划然后他们的那个路线呢也完全是就是比相关的风格
[1:57.470,2:10.450,1]  所以当时我就觉得那个很感人啊呃首先是就是觉得也有荣焉吧就是那当然也是也可能是我自作多情啦就是不一定是因为碧霞观所以人家才
[2:10.920,2:16.060,1]  那个走上这样的一个一条这个路线去做毕业旅行
[2:16.580,2:36.030,1]  呃另外我觉得就是也也很羡慕啊因为那个好像我就是我们作为这个就是我们那个年代似乎还没有这件事就是我不知道那个你们各位那个叔叔阿姨你们你们有没有啊就是我好像那个
[2:36.030,2:41.590,0]  这个哦我觉得你自己很爱旅行啊你毕业的时候我有类似的
[2:41.590,2:52.070,1]  但完全不是这个概念吧就是因为毕业旅行确实是现在好像这几年比较那个呃在国内开始有有这么一个确实是比较明确的应该就是毕业的时候
[2:52.070,2:54.680,0]  嗯有专门的旅行社推这个
[2:55.230,2:56.830,0]  卖这个房
[2:58.400,3:5.060,1]  你们那个是不是各位也分享一下你的自己的就是好很久很久以前的那个事儿
[3:5.100,3:18.230,0]  咱们套咱们自报一下因为页边和我和竹子是一一半儿的然后超儿是小一半所以SFX让人想入非非了对吧所以我觉得我们
[3:18.230,3:31.650,1]  对所以所以严格的说我们其实都不是输大叔这一级的我们都是爷爷辈儿的因为那个就是我们的听众我知道很多都是跟那个不2万如一叫大树嗯不改万分之一又是管我们叫大叔的所以这个
[3:31.650,3:56.440,0]  就是我老师那这个竹子新兰哎那我还蛮幸运的我大概18岁就有了旅行的本质其实就是玩儿的自信所以考上大学的差不多第二三天我就我就奔北京了就就呃先在北戴河停了一下然后就第一趟旅行是北京但是还不是毕业那还到大学毕业的时候呢
[3:56.440,3:58.870,1]  不是你刚才说的这个是高中毕业是吧
[3:59.100,4:24.380,0]  对就高中毕业就呃对呀对呀所以我我好像好像出来玩的那个时间比较早然后如果你讲的毕业旅行的概念碰巧也有是因为那时候也没有毕业旅行的概念但天天是毕业那一年呢突然出现了莫名其妙的一个春假就是在五一的时候我想那个时候应该可能是黄金周之前要在某一些城市进行试点
[4:24.480,4:47.700,0]  推广黄金周是吧黄金周是两两千零四年黄金周就好像是九几年99年一类的就反正我们肯定是在那之前啦然后就反正就出现了一个突然就出现五一的时候出现了七天的一个啊我知道了一个一个一个正好是改双休
[4:47.740,4:51.980,0]  单休改双休然后再遇上五一什么的也
