[0:0.780,0:2.245,0]  欢迎收听地下关。
[0:2.245,0:5.225,0]  今天是不下班的，对七七大家好事业编。
[0:5.225,0:6.550,1]  大家好，我是古村。
[0:6.720,0:9.610,1]  大家好，我是栖霞他正好我是超人。
[0:9.720,0:18.980,0]  毕竟关是ipn多客网络局限，一旦讨论艺术史话题的播客节目每周四多出我们的网址是B下关点com。
[0:19.400,0:25.760,0]  推荐大家使用泛用型播客客户端订阅收听关于播客客户端的推荐，请访问。
[0:25.760,0:28.250,0]  哎，评点I斜杠faq。
[0:29.880,0:37.710,0]  嗯，今天还是先进入互动环节，我们前两期讨论中国古建筑嗯收货了。
[0:38.160,0:44.260,0]  不少听友的反馈，也让我们受到不小的鼓舞和鼓励吧。
[0:45.830,0:55.020,0]  所以这里我想先挑其中的一封信跟大家分享，因为写这封信的亲友呢，听起来呃，跟古村老师好像是同行。
[0:55.580,1:0.380,0]  是应该是学建筑的，他表达的这个看法，我觉得某种程度上也。
[1:0.760,1:8.060,0]  对我们节目讨论的内容是一个比较好的补充呃，而且他的观点，我们也都很能同意。
[1:8.540,1:10.920,0]  嗯，所以呢我。
[1:11.430,1:13.230,0]  我还是先朗诵一下吧。
[1:13.230,1:23.210,0]  亲爱的主播吗，你们好狠喜欢你们的节目也非常感谢你们的节目，一个朋友说你们的节目很干，我觉得也很有道理，因为往常对拨备的定义。
[1:23.330,1:32.480,0]  都比较像是闲聊，个人的口语化的内容比较多，偶尔参杂一些专业领域的知识聊的东西往往是跟当下的发生的事情有关。
[1:32.760,1:44.110,0]  这么说来，你们是在用一种很不像播课的方式，认真的做一档播客节目在我听来你们的节目更像是一个专题讲座或者像是网络公开课里面的一门课那样吧。
[1:44.480,1:53.590,0]  而因为我大概算是同行，不过我还只是在求学的过程当中，很感谢各位前辈的分享这些呃，很感谢各位前辈的分享。
[1:53.820,2:1.710,0]  这些在意看跟当下热点没什么关系的东西，一种带着大家穿越时空与认真的心态去读历史的东西。
[2:2.460,2:3.780,0]  这期很精彩。
[2:3.960,2:9.400,0]  啊，那这个是我们这个第五期是发现中国古建筑的上半部分。
[2:9.840,2:41.330,0]  呃，尽管大家对建筑的定义还没有达成统一，不过不要紧，我觉得建筑最有魅力的地方有两个，一个是它超越的时间，不像绘画和工艺品，一旦诞生变化就很少，而建筑是在不断的变化当中，就像我们今天聊1000多年前的佛光死掉的不仅仅是他所属的唐代的历史环境中这么一个建筑，我们聊的是这个有生命的建筑，无论是近代史上对建筑对方公司的重新发现还是我们现在人对他的重新解读，所以在这里。
[2:41.480,2:44.055,0]  发现或者在发现都是可以成立的。
[2:44.055,2:51.730,0]  每一次都在发现都跟当时的时代背景有关，都跟发现者的身份有关，因为不同人的解读都是有意义的，再者。
[2:52.020,3:9.640,0]  历史照片也好，文字也好，后人看这些记录不仅仅要看到历史本身也能看到除去历史本身的东西，比如我看小月玄妙拍的佛光寺室内的场景同照片看他的关注点是在佛像本身，但佛像所处的这个建筑环境同样吸引着我。
[3:10.020,3:12.510,0]  第二是建筑不仅仅是结构。
[3:12.580,3:17.820,0]  不定是那些结构而已结构是禁止的，但结构形成的空间与人的活动有关。
[3:18.040,3:29.850,0]  佛寺里面举办的仪式民居离开展的日常生活，这些对我们来说都和那些或雄浑或醇和的形式一样，请如果也因此建筑史显得那么复杂。
[3:30.250,3:35.920,0]  嗯，跟社会学人类学技术，使艺术史考古学都息息相关。
[3:36.070,3:56.730,0]  婴儿建筑史学科被划分在建筑史治下还是艺术实质性还是考古学下面看起来往往就决定了研究的思路，你们在节目里也提到了很多对中国古建的研究者本身的学科背景的讨论，我觉得这点很重要可以补充的是移动中泰花了很多的时间写的大概6000还是气站的天大建筑装饰。
