[0:0.240,0:5.480,0]  欢迎收听碧霞关，今天势必下关的第八其大家好，我是不存。
[0:6.080,0:9.100,0]  璧山关系当讨论艺术史话题的播客节目。
[0:10.790,0:13.720,0]  我们的网址是B下关点com。
[0:14.040,0:17.700,0]  推荐大家使用泛用型多可客户端订阅收听。
[0:17.900,0:20.960,0]  因为这是第一时间听到B韶关的唯一方法。
[0:21.390,0:24.580,0]  必须要关是ipm播客网络旗下的节目。
[0:24.960,0:30.690,0]  关于播客客户端的推荐，请访问ipn点斜杠SHQ。
[0:31.070,0:55.210,0]  在这次为期十来天的印度之旅中我们有非常多的感受，我们也希望能够以各种形式和我们的听友分享我们的感受，那么我们呢，也在现场录制一些这个实况的一些录音，能够让大家感受一些当时的氛围和我们的自己的感受，下面是我们在桑琪的一些录音片段。
[0:55.600,0:58.320,0]  你说吧，开导以前讲一下看看。
[0:59.180,1:0.220,0]  这个。
[1:0.660,1:36.050,0]  我们现在30这个大唐是这个上面第二层的他，其实现在的入口是这个说咱们从北北边这个门进来，没有朝南门进来，现在我们站在北门的这个镇村南门上来的完了那个其实这个湘西大厦周围的环境还是很不错的，都是这个北边是平原，这个等于他在一个高地上，然后周围有一些丘岭，那么北边是平原完了四个门，现在正好是下午的阳光也非常好，能把北门上的那个好多东西看得非常清楚。
[1:42.150,1:43.720,0]  在这儿的这个人。
[1:44.770,2:44.770,0]  也不是很多，游客有很多，这个来自那个南亚这个地区的佛教信徒在这儿，这个礼拜那个当然印度人印度同对这个南亚地区的人还是比较那什么的那个门票收的很少，只说石路比相当于中国的一块钱对于我们这些中国人还欧美人是一视同仁的收的都是250路费，所以我们气枪自己250，不过也就是25块钱人民币的样子，嗯，环境还是保护的很好的这个想象这个整个没有想象中那么大，对都比较难，再次对想象的东东，想让大其实都很还是很密集的主要在一个山的一个坡长的下泰和2X3堂就基本上就挨着我觉得他中途线好像他是应该是东西走向他那边你就讲出来，你去看那边没有你看你自己看你不要看二台你就看这个跟后面的建筑，那这。
[2:44.771,2:50.170,0]  沙发后边那个对啊，还前面的建筑，因为它谈应该在寺院的中心吗。
[2:51.410,3:2.780,0]  所以他这个东门比较浙东，对啊，对，其实他是朝那那边是西西边还有一个那个什么你再去看这个东门对吧，完了那个。
