[0:0.310,0:5.270,1]  欢迎收听地下关今天势必下关的第九期大家好我是竹子
[0:5.270,0:6.760,0]  大家好我是古村
[0:6.760,0:32.820,1]  大家好我是徐霞姐你好我是超人地下关是一档讨论艺术史话题的播客停每周四播出我们的网址是地下观点com推荐大家使用泛用型播客客户端订阅收听因为这是第一时间听到哔下关的唯一方法毕教官是M波克网络旗下的节目关于播客客户端的推荐请访问ipil斜杠SHQ
[0:33.720,0:38.640,1]  嗯今天我们接着聊印度这是进度的第三次
[0:39.660,1:0.870,1]  呃我在我想在大家听了一场电影是的印度之旅的录音剪辑之后有一些没有去过印度或者对印度石窟艺术不太了解的清楚来说可能仍然印象比较模糊所以我们今天就更加具体的聊一聊以便给大家更多的信息和更多的交流因为就我个人的体验来说
[1:1.330,1:8.100,1]  尽管回来已经近两周了但还仍然意犹未尽咱们下面就请贾春仙
[1:8.200,1:10.210,1]  把这个行程再回顾一下
[1:10.450,1:31.810,0]  这是印度的这个行程大概为期是两周那么我简单回顾一下我们的这个行程的一些这个呃前后吧我们先呢是到的这个印度的首都德里我们的旅行呢从德里开始从德里呢我们因为这个根据这个路线的远近啊我们先去的这个
[1:32.700,1:35.180,0]  这个所谓的印度金三角的这个
[1:37.230,2:8.590,0]  啊哥拉的是一个有这个泰姬陵铸成的一个旅游城市那么当然除了泰姬陵以外还有宏宝啊这些这个耳熟能详的代表印度旅游这个标志的一些景点那从安哥拉我们再往西呃东南方向走那么下一站就是叫挂料他这边呢也是这个印度在这个莫尔王朝时期的一个土邦的一个承保呃再完了再往南呢我们到的是獒犬
[2:9.200,2:14.790,0]  在凹槽以前我们的旅行的基本上都是参观的是印度这个这个伊斯兰话语
[2:14.790,2:16.140,1]  哦没没玩
[2:16.140,2:28.950,0]  朝时期的一些这个历史遗迹啊而且呢是一个国内这个旅游尤其是这个喜欢摄影的朋友爱去的一个热点有点像就是有点像中国的这个丽江啊
[2:31.050,2:45.320,1]  没没有那么干净那么多我对我对挂啊在在那个就是ad哎不对我对他评价就是鼓励傲然遍地是屎
[2:45.320,2:46.840,0]  你说啥签啊
[2:48.000,2:49.370,1]  对呀OK
[2:49.370,3:26.050,0]  这个咱们印度这个这个到底这个环境怎么样这个是不是遍地是啥可以带我咱们既然接着接着聊啊我先把这个咱们的攻略说完那么从二从2000开始呢我们呢其实就进入了我们的这个等于前面是这个畜牧我们进入这个重头戏从而且开始以后而且出发那天我们第一站就到的是桑琪那么在商祺当然了这个大家听我们上期的现场直播另外我们这个知乎上也有一些照片登出来啊桑琪我们带我还聊是非常伟大的一个佛教历史遗迹那么从桑琪以后我们基本
[3:26.280,3:37.000,0]  所领略的全都是这个印度的这个佛教的一个艺术遗存因为从三级开始我们呃那天晚上就要歇菜了那个不怕
